Line No.,Order Code,RoHS Compliant?,Customer Reference No,Notes,Qty,Mfr Part No,Manufacturer Name,Manufacturer / Description,Availability,Unit Price (&euro;),Line Price (&euro;),Discount Price (&euro;)
1,2341644,RoHS: YES / PHTHALATES: YES,,,15.0,"BAT41ZFILM",STMICROELECTRONICS,"STMICROELECTRONICS  Small Signal Diode, 100 V, 200 mA, 1 V, 1 A",16564,0.1650,2.48,,
2,1469811,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"CRCW060347K0FKEA",VISHAY,"VISHAY  SMD Chip Resistor, 47 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",187150,0.0170,0.17,,
3,1673489,RoHS: YES / PHTHALATES: YES,,,10.0,"EEUEE2G150",PANASONIC,"PANASONIC  Electrolytic Capacitor, 15 µF, 400 V, ± 20%, Radial Leaded, 10000 hours @ 105°C, Polar",2197,0.8060,8.06,,
4,2331787,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"CRGH0805J220R",NEOHM - TE CONNECTIVITY,"NEOHM - TE CONNECTIVITY  SMD Chip Resistor, 220 ohm, ± 5%, 333.3 mW, 0805 [2012 Metric], Thick Film, General Purpose",6920,0.0160,0.16,,
5,2461158,RoHS: YES / PHTHALATES: YES,,,5.0,"MC000827",MULTICOMP PRO,"MULTICOMP PRO  Fuse Carrier, PCB Mount, 250V, 6.3A, 5 x 20mm, Solder, Through Hole",15091,0.5620,2.81,,
6,2612168,RoHS: YES / PHTHALATES: YES,,,5.0,"VIPER35HDTR",STMICROELECTRONICS,"STMICROELECTRONICS  AC/DC Off-Line Switcher IC, VIPerPlus Family, Flyback, 8.5 VAC - 23.5 VAC, 1.5 W, NSOIC-16",2425,1.1700,5.85,,
7,3473674,RoHS: Y-EX / PHTHALATES: YES,,,5.0,"CR0201AFW-1001GLF.",BOURNS,"BOURNS  RES, 1K, 1%, 0.05W, 0201, THICK FILM",4460,0.0030,0.02,,
8,2073383,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"MCMR06X1303FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, Ceramic, 130 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film",2224,0.0070,0.07,,
9,1709997,RoHS: YES / PHTHALATES: YES,,,5.0,"MC0603B222M500CT",MULTICOMP PRO,"MULTICOMP PRO  CERAMIC CAPACITOR 2200PF, 50V, X7R, 20%, 0603",1890,0.0030,0.02,,
10,1632397,RoHS: Y-EX / PHTHALATES: YES,,,5.0,"MC0603SAF1202T5E",MULTICOMP PRO,"MULTICOMP PRO  RES, THICK FILM, 12K, 1%, 0.1W, 0603",2918,0.0020,0.01,,
11,4177698,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"CRCW060382K0FKEAC",VISHAY,"VISHAY  SMD Chip Resistor, 82 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",88350,0.0030,0.03,,
12,2074235,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"MCSR06X3002FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, 30 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, Sulfur Resistant",431,0.0070,0.07,,
13,3519283,RoHS: YES / PHTHALATES: YES,,,5.0,"DBLS207G",TAIWAN SEMICONDUCTOR,"TAIWAN SEMICONDUCTOR  Bridge Rectifier, Dual-In-Line, Single Phase, 1 kV, 2 A, SMD, 4 Pins, 1.15 V",3870,0.8410,4.21,,
14,1636281,RoHS: YES / PHTHALATES: YES,,,1.0,"744821120",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Choke, Common Mode, Power Line, 20 mH, 500 mA, WE-CMB Series",876,3.6400,3.64,,
15,2447390,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"MCWR06W4R70FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, 4.7 ohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",150471,0.0070,0.07,,
16,4539117,RoHS: YES / PHTHALATES: YES,,,5.0,"CL21B105KAFNNNG",SAMSUNG ELECTRO-MECHANICS,"SAMSUNG ELECTRO-MECHANICS  SMD Multilayer Ceramic Capacitor, 1 µF, 25 V, 0805 [2012 Metric], ± 10%, X7R",5335,0.0330,0.17,,
17,2904730,RoHS: YES / PHTHALATES: YES,,,10.0,"C0603C333J4RACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 0.033 µF, 16 V, 0603 [1608 Metric], ± 5%, X7R",16110,0.1480,1.48,,
18,3129988,RoHS: YES / PHTHALATES: YES,,,5.0,"TS432AILT",STMICROELECTRONICS,"STMICROELECTRONICS  Voltage Reference, Shunt - Adjustable, 1.24V to 10V, 0.5 % Ref, 100ppm/°C, SOT-23-3",2890,0.9660,4.83,,
19,1469597,RoHS: YES / PHTHALATES: YES,,,5.0,"SFH6106-2",VISHAY,"VISHAY  Optocoupler, Transistor Output, 1 Channel, Surface Mount DIP, 4 Pins, 60 mA, 5.3 kV, 63 %",3697,0.6210,3.11,,
20,2073474,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"MCMR06X3303FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, Ceramic, 330 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film",3630,0.0070,0.07,,
21,1856473,RoHS: YES / PHTHALATES: YES,,,5.0,"MCSH21B221K500CT",MULTICOMP PRO,"MULTICOMP PRO  SMD Multilayer Ceramic Capacitor, 220 pF, 50 V, 0805 [2012 Metric], ± 10%, X7R",1260,0.1650,0.83,,
22,3129905,RoHS: YES / PHTHALATES: YES,,,1.0,"STPS5H100B",STMICROELECTRONICS,"STMICROELECTRONICS  Schottky Rectifier, 100 V, 5 A, Single, TO-252 (DPAK), 3 Pins, 730 mV",145,0.6540,0.65,,
23,2841907,RoHS: YES / PHTHALATES: YES,,,10.0,"UKZ1E101MPM1TD",NICHICON,"NICHICON  Electrolytic Capacitor, 100 µF, 25 V, ± 20%, Radial Leaded, 1000 hours @ 85°C, Polar",286,0.3830,3.83,,
24,9238620,RoHS: Y-EX / PHTHALATES: YES,,,10.0,"RC0603FR-0715K0L",YAGEO,"YAGEO  SMD Chip Resistor, 15 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",10141,0.0050,0.05,,
25,2812592,RoHS: YES / PHTHALATES: YES,,,5.0,"885342208021",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  SMD Multilayer Ceramic Capacitor, 0.01 µF, 1 kV, 1206 [3216 Metric], ± 10%, X7R",1665,0.2090,1.05,,
26,3537180,RoHS: YES / PHTHALATES: YES,,,5.0,"CL21B103KB65PNC",SAMSUNG ELECTRO-MECHANICS,"SAMSUNG ELECTRO-MECHANICS  CAP, AEC-Q200, 0.01UF, 50V, MLCC, 0805",12908,0.0270,0.14,,
27,1459137,RoHS: Y-EX / PHTHALATES: YES,,,5.0,"MRA4007T3G",ONSEMI,"ONSEMI  Standard Recovery Diode, 1 kV, 1 A, Single, 1.1 V, 30 A",288305,0.1600,0.80,,
28,2061483,RoHS: YES / PHTHALATES: YES,,,5.0,"MMSZ5248B",DIODES INC.,"DIODES INC.  Zener Single Diode, MMSZ52 Series, 18 V, 500 mW, SOD-123, 2 Pins, 150 °C, Surface Mount",5572,0.1260,0.63,,
29,1527703,RoHS: YES / PHTHALATES: YES,,,5.0,"CPF0603F133KC1",NEOHM - TE CONNECTIVITY,"NEOHM - TE CONNECTIVITY  SMD Chip Resistor, 133 kohm, ± 1%, 62.5 mW, 0603 [1608 Metric], Thin Film, Precision Low TCR",1023,0.0570,0.29,,
30,1531369,RoHS: Y-EX / PHTHALATES: YES,,,5.0,"CRCW1206220KJNEA",VISHAY,"VISHAY  RES, THICK FILM, 220K, 5%, 0.25W, 1206",9267,0.0100,0.05,,
31,1004337,RoHS: YES / PHTHALATES: YES,,,5.0,"B72210S0321K101",EPCOS,"EPCOS  TVS Varistor, MOV, 320 V, 420 V, StandarD, 840 V, Disc 10mm, Metal Oxide Varistor (MOV)",924,0.4710,2.36,,
