Comment,Designator,Footprint,LCSC Part #
1K 1%,R7,0402,C11702
1K 1%,R8 R9,_0603X4-1206,C110021
1K 1%,R10 R11,0402,C11702
1K 1%,R14 R15,_0603X4-1206,C110021
10K 1%,R4 R5 R6 R12 R13,0402,C25744
100nF 50V,C5 C6 C7 C8 C9 C10 C11 C12,0402,C307331
AFC11-S20ICC-00 ,CON2,FPC20,C11073
BLUE,LED2,LED3MM,C86881
BSS138,T1,SOT23,
DNI,C1 C2 C3 C4,C0402,
DNI,CON1,FPC40_3.5TFT,
DNI,DSP,1X4,
DNI,R1 R2 R3,0402,
GREEN,LED1,LED3MM,C414645
Green,CH1 CH2 CH3 CH4 CH5 CH6 CH7 CH8,LED-0805,C2297
MCP23017T-E/ML ,IC1 IC2,QFN28[6X6]ML,C629439
Orange,SEL1 SEL2 SEL3 SEL4 SEL5 SEL6 SEL7 SEL8,LED-0805,C434437
RED,LED3,LED3MM,C330752
TP,3V3 5V BL CS GND MISO MOSI SCK SCL0 SDA0,TP,
TS-1002S-04326C ,< > O PWR,PUSHBUTTON-6X6,C455108
