EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
N_OUT8	0.000000000	0.000000000	--	--
CC2	1.246911270	1.246911270	--	--
CC1	1.263630866	1.263630866	--	--
N$1	1.618312943	1.618312943	--	--
N$14	1.634112698	1.634112698	--	--
N$38	1.634112698	1.634112698	--	--
RDC_RD_N	1.650293370	1.650293370	--	--
RDC_RD_P	1.654222030	1.654222030	--	--
N$16	1.657843304	1.657843304	--	--
N$39	1.671785021	1.671785021	--	--
N$54	1.754056854	1.754056854	--	--
USB_BOOT	1.922598990	1.922598990	--	--
RP_XO	1.956154801	1.956154801	--	--
N$33	2.032118586	2.032118586	--	--
N$63	2.058592092	2.058592092	--	--
N$85	2.080553911	2.080553911	--	--
N$73	2.086592092	2.086592092	--	--
N$61	2.102829264	2.102829264	--	--
N$49	2.104165685	2.104165685	--	--
N$35	2.116165685	2.116165685	--	--
N$50	2.135398990	2.135398990	--	--
N$68	2.135398990	2.135398990	--	--
N$74	2.135398990	2.135398990	--	--
N$116	2.142426407	2.142426407	--	--
N$75	2.143753911	2.143753911	--	--
N$87	2.143753911	2.143753911	--	--
N$28	2.158592092	2.158592092	--	--
N$51	2.158592092	2.158592092	--	--
N$93	2.169679788	2.169679788	--	--
N$69	2.174829264	2.174829264	--	--
N$97	2.180553911	2.180553911	--	--
N$67	2.186592092	2.186592092	--	--
N$34	2.214511688	2.214511688	--	--
N$62	2.235398990	2.235398990	--	--
N$98	2.272821530	2.272821530	--	--
N$86	2.272821530	2.272821530	--	--
N$29	2.312118586	2.312118586	--	--
5VFB	2.327401154	2.327401154	--	--
N$27	2.386820346	2.386820346	--	--
N$94	2.415062861	2.415062861	--	--
N$53	2.440589532	2.440589532	--	--
N$18	2.605518903	2.605518903	--	--
N$41	2.647109740	2.647109740	--	--
N$46	2.746244733	2.746244733	--	--
N$45	2.746244733	2.746244733	--	--
MCP_VIN	2.784189725	2.784189725	--	--
RP_DP_N	3.184188075	3.184188075	--	--
RP_DP_P	3.211551304	3.211551304	--	--
TX1_LP	3.259568124	3.259568124	--	--
N$112	3.261665222	3.261665222	--	--
TX3_LP	3.262716147	3.262716147	--	--
TX4_LP	3.267852395	3.267852395	--	--
TX2_LP	3.279284690	3.279284690	--	--
TX8_LP	3.331581746	3.331581746	--	--
TX7_LP	3.348150288	3.348150288	--	--
TX5_LP	3.419155339	3.419155339	--	--
N_OUT6	3.428418469	3.428418469	--	--
TX6_LP	3.435723882	3.435723882	--	--
N_OUT5	3.449129148	3.449129148	--	--
N_OUT7	3.494692639	3.494692639	--	--
RX_RD_P	3.545349992	3.545349992	--	--
RX_RD_N	3.548474538	3.548474538	--	--
N_OUT2	3.611261182	3.611261182	--	--
N_OUT3	3.631971860	3.631971860	--	--
TX4_PU	3.695537127	3.695537127	--	--
N_OUT4	3.719839826	3.719839826	--	--
N$56	3.879968931	3.879968931	--	--
N$92	4.005334475	4.005334475	--	--
VNI1	4.191421356	4.191421356	--	--
3VFB	4.249179332	4.249179332	--	--
N$3	4.268171543	4.268171543	--	--
VNI2	4.291421356	4.291421356	--	--
N$19	4.297251616	4.297251616	--	--
TX_OUTSEL	4.327328598	4.327328598	--	--
TX5_PU	4.409966218	4.409966218	--	--
TX_TD_P	4.620509428	4.620509428	--	--
TX_TD_N	4.635533706	4.635533706	--	--
XO	5.092069518	5.092069518	--	--
TX_FB	5.328749608	5.328749608	--	--
OUT_8	5.371892634	5.371892634	--	--
OUT_5	5.391824077	5.391824077	--	--
OUT_7	5.428135347	5.428135347	--	--
OUT_4	5.576171580	5.576171580	--	--
OUT_6	5.681232893	5.681232893	--	--
OUT_1	5.898132693	5.898132693	--	--
QSPI_SD2	5.926924346	5.926924346	--	--
OUT_2	6.076527253	6.076527253	--	--
N$52	6.214035887	6.214035887	--	--
OUT_3	6.223108826	6.223108826	--	--
N$64	6.264127575	6.264127575	--	--
N$88	6.478966391	6.478966391	--	--
RP_XI	6.693392275	6.693392275	--	--
N$30	6.813133218	6.813133218	--	--
+5V_MEA2	6.873191336	6.873191336	--	--
N$36	6.901776695	6.901776695	--	--
N$101	6.925940852	6.925940852	--	--
N$70	6.942193001	6.942193001	--	--
N$100	6.971935137	6.971935137	--	--
N$76	7.013908730	7.013908730	--	--
SRC1	7.729366493	7.729366493	--	--
+5V_MEA1	7.846245979	7.846245979	--	--
VREF	8.958486692	8.958486692	--	--
FB2	9.060034428	9.060034428	--	--
N$44	9.244913302	9.244913302	--	--
FBIN2	9.648743864	9.648743864	--	--
SWDIO	9.669686911	9.669686911	--	--
TX_OUT	9.735360875	9.735360875	--	--
FBIN1	9.800902424	9.800902424	--	--
QSPI_SD1	9.801843727	9.801843727	--	--
N$21	10.222001584	10.222001584	--	--
FB1	10.334924240	10.334924240	--	--
N_OUT1	10.467042509	10.467042509	--	--
TX3_PU	10.658684194	10.658684194	--	--
TX6_PU	11.231691929	11.231691929	--	--
N$2	11.712689651	11.712689651	--	--
SW3	11.947151222	11.947151222	--	--
SW5	11.970450178	11.970450178	--	--
TCT	12.085797329	12.085797329	--	--
N$95	12.105495796	12.105495796	--	--
N$71	12.153534121	12.153534121	--	--
N$59	12.169895796	12.169895796	--	--
N$47	12.195581221	12.195581221	--	--
N$17	12.317678866	12.317678866	--	--
N$65	12.459185118	12.459185118	--	--
N$31	12.472444136	12.472444136	--	--
N$83	12.510551293	12.510551293	--	--
TX2_PU	13.082359518	13.082359518	--	--
N$12	13.181611525	13.181611525	--	--
QSPI_SCLK	13.401754699	13.401754699	--	--
QSPI_SD0	13.403637087	13.403637087	--	--
N$60	13.741246443	13.741246443	--	--
N$48	13.761662749	13.761662749	--	--
N$7	13.849402505	13.849402505	--	--
SRC2	13.944456054	13.944456054	--	--
N$72	14.147871308	14.147871308	--	--
ADC_V_USB	14.171588779	14.171588779	--	--
TX7_PU	14.265417759	14.265417759	--	--
N$23	14.451904756	14.451904756	--	--
N$32	14.606393630	14.606393630	--	--
SWCLK	14.912417108	14.912417108	--	--
N$22	15.007449187	15.007449187	--	--
N$66	15.042962172	15.042962172	--	--
5V_EN	15.113954776	15.113954776	--	--
N$96	15.165561018	15.165561018	--	--
N$84	15.197987425	15.197987425	--	--
TX1_PU	15.764613485	15.764613485	--	--
N$6	16.007790434	16.007790434	--	--
TX8_PU	16.571935795	16.571935795	--	--
N$5	16.878506734	16.878506734	--	--
QSPI_SD3	17.097936032	17.097936032	--	--
TX_MUX2	17.673174088	17.673174088	--	--
TX_MUX3	17.934435096	17.934435096	--	--
TX_MUX1	18.168805497	18.168805497	--	--
N$82	18.213760456	18.213760456	--	--
N$8	18.539379918	18.539379918	--	--
TX_MUX4	18.676104627	18.676104627	--	--
REL_4	18.868388146	18.868388146	--	--
RELAY_6	18.885072405	18.885072405	--	--
REL_2	19.006727204	19.006727204	--	--
REL_3	19.053533471	19.053533471	--	--
REL_5	19.872528996	19.872528996	--	--
REL_1	20.006860993	20.006860993	--	--
KEY_3	20.009090253	20.009090253	--	--
!LINK	20.062525677	20.062525677	--	--
N$91	20.329876873	20.329876873	--	--
TX_MUX5	20.456515694	20.456515694	--	--
!TX_OUT	20.566999284	20.566999284	--	--
KEY_1	21.141212670	21.141212670	--	--
+3V3_A	22.041794630	22.041794630	--	--
