Designator,Mid X,Mid Y,Layer,Rotation
3V3, 6.71,29.62,Bottom,0.0
5V, 6.76,46.00,Bottom,180.0
<,29.85,37.69,Top,0.0
>,70.03,37.91,Top,0.0
BL, 6.77,32.21,Bottom,180.0
C1,21.32,30.48,Bottom,270.0
C2,38.45,28.58,Bottom,90.0
C3,36.15,28.56,Bottom,90.0
C4,37.28,28.56,Bottom,90.0
C5,73.60,34.75,Bottom,135.0
C6,79.96,33.51,Bottom,225.0
C7,23.49,39.48,Top,90.0
C8,63.41,39.50,Top,90.0
C9,43.35,39.48,Top,90.0
C10,106.68,35.27,Top,270.0
C11,34.33,33.51,Bottom,225.0
C12,27.98,34.71,Bottom,135.0
CH1, 8.65,50.71,Top,0.0
CH2,18.80,50.69,Top,0.0
CH3,28.93,50.69,Top,0.0
CH4,39.02,50.69,Top,0.0
CH5,49.16,50.71,Top,0.0
CH6,59.32,50.69,Top,0.0
CH7,69.44,50.68,Top,0.0
CH8,79.52,50.68,Top,0.0
CON1,30.06,49.59,Top,270.0
CON2,54.67,36.52,Bottom,180.0
CS,47.73,28.24,Bottom,90.0
D1,66.60,33.40,Top,0.0
D2,36.80,37.60,Top,90.0
D3,56.90,36.60,Top,90.0
D4,120.60,37.40,Top,270.0
D5,56.40,43.40,Top,90.0
DSP,16.87,38.10,Top,0.0
GND, 6.76,43.10,Bottom,180.0
H1, 8.80,37.69,Top,0.0
H2,123.04,47.03,Top,0.0
H3,123.22,28.71,Top,0.0
IC1,77.29,37.50,Bottom,135.0
IC2,31.61,37.44,Bottom,135.0
LED1,96.39,34.08,Top,90.0
LED2,96.29,41.68,Top,90.0
LED3,96.25,49.75,Top,90.0
MISO,54.79,28.24,Bottom,90.0
MOSI,52.47,28.24,Bottom,90.0
O,49.87,37.88,Top,0.0
PWR,113.29,37.58,Top,180.0
R1,25.04,30.52,Bottom,270.0
R2,23.77,30.50,Bottom,90.0
R3,22.52,30.50,Bottom,90.0
R4,29.64,30.61,Bottom,90.0
R5,23.45,35.90,Top,90.0
R6,62.68,35.25,Top,0.0
R7,95.74,31.04,Top,0.0
R8,73.44,41.93,Bottom,225.0
R9,80.03,42.80,Bottom,135.0
R10,95.60,38.76,Top,0.0
R11,95.62,46.75,Top,0.0
R12,43.34,35.90,Top,90.0
R13,106.68,39.32,Top,270.0
R14,28.02,42.34,Bottom,225.0
R15,33.91,43.29,Bottom,135.0
R16,24.20,37.70,Top,180.0
R17,64.20,37.70,Top,180.0
R18,44.00,37.70,Top,180.0
R19,108.00,37.40,Top,180.0
SCK,50.05,28.24,Bottom,90.0
SCL0,13.96,36.04,Bottom,90.0
SDA0,14.06,33.56,Bottom,270.0
SEL1, 8.67,48.40,Top,0.0
SEL2,18.80,48.50,Top,0.0
SEL3,28.92,48.50,Top,0.0
SEL4,39.00,48.50,Top,0.0
SEL5,49.17,48.49,Top,0.0
SEL6,59.33,48.49,Top,0.0
SEL7,69.39,48.47,Top,0.0
SEL8,79.49,48.47,Top,0.0
T1,27.35,30.70,Bottom,180.0
U$1,111.83,45.69,Top,0.0
U$5,106.77,46.38,Top,0.0
U$8,85.61,40.49,Top,0.0
U$9,86.41,33.18,Top,0.0
U$10,87.03,47.47,Top,0.0
