Manufacturer Part Number,Quantity,Manufacturer(Optional),Package(Optional)
RE0188047,1,Uniohm,0402
RE0022532,2,Yageo,_0603X4-1206
RE0188047,2,Uniohm,0402
RE0022532,2,Yageo,_0603X4-1206
RE0207399,4,ROHM,0402
RE0321838,4,RALEC,0402
CA0137105,8,Yageo,0402
CO0889517,1,JS,FPC20
PH0094706,1,MEIHUA,LED3MM
,3,,TP-ROUND
,4,,C0402
,1,,FPC40_3.5TFT
,1,,TP-ROUND
,1,,1X4
,1,,TP-ROUND
,1,,3 2-PAD
,1,,3 2-PAD
,1,,3 2-PAD
,2,,TP-ROUND
,3,,0402
RE0207399,1,ROHM,0402
,3,,TP-ROUND
DS0190318,1,HUASHUO,SOT23
,2,,DMT
,2,,NEXTPCB_SMALL
,1,,CE-4MM
,1,,ROHS_LOGO_0.18_IN
,1,,NO_PB_LOGO_0.120
PH0094890,1,MEIHUA,LED3MM
PH0094653,8,MEIHUA,LED-0805
IC0080215,2,MICROCHIP,QFN28[6X6]ML
PH0093712,8,NATIONSTAR,LED-0805
CP0009318,1,Nexperia,SOD-123
CP0009318,1,Nexperia,SOD-123
CP0009318,1,Nexperia,SOD-123
CP0009318,1,Nexperia,SOD-123
PD0007296,1,SEMTECH,SC75
PH0094690,1,MEIHUA,LED3MM
SW0049370,4,USAKRO,PUSHBUTTON-6X6
