### Module positions export ###
### Printed by EAGLE ULP ###
### Unit = mm, Angle = deg.
# Ref,Val,Package,PosX,PosY,Rot,Side
3V3,DNI,TP-ROUND,6.7100,29.6200,0.0000,bottom
5V,DNI,TP-ROUND,6.7600,46.0000,180.0000,bottom
<,TS-1002S-04326C ,PUSHBUTTON-6X6,29.8500,37.6900,0.0000,top
>,TS-1002S-04326C ,PUSHBUTTON-6X6,70.0300,37.9100,0.0000,top
BL,DNI,TP-ROUND,6.7700,32.2100,180.0000,bottom
C1,DNI,C0402,21.3240,30.4800,270.0000,bottom
C2,DNI,C0402,38.4540,28.5800,90.0000,bottom
C3,DNI,C0402,36.1500,28.5600,90.0000,bottom
C4,DNI,C0402,37.2800,28.5600,90.0000,bottom
C5,100nF 25V,0402,73.5961,34.7510,135.0000,bottom
C6,100nF 25V,0402,79.9612,33.5054,225.0000,bottom
C7,100nF 25V,0402,23.4860,39.4760,90.0000,top
C8,100nF 25V,0402,63.4140,39.4960,90.0000,top
C9,100nF 25V,0402,43.3460,39.4760,90.0000,top
C10,100nF 25V,0402,106.6754,35.2680,270.0000,top
C11,100nF 25V,0402,34.3307,33.5107,225.0000,bottom
C12,100nF 25V,0402,27.9807,34.7107,135.0000,bottom
CH1,Green,LED-0805,8.6520,50.7060,0.0000,top
CH2,Green,LED-0805,18.7980,50.6940,0.0000,top
CH3,Green,LED-0805,28.9280,50.6940,0.0000,top
CH4,Green,LED-0805,39.0180,50.6940,0.0000,top
CH5,Green,LED-0805,49.1580,50.7140,0.0000,top
CH6,Green,LED-0805,59.3180,50.6940,0.0000,top
CH7,Green,LED-0805,69.4380,50.6840,0.0000,top
CH8,Green,LED-0805,79.5180,50.6840,0.0000,top
CON1,DNI,FPC40_3.5TFT,30.0600,49.5900,270.0000,top
CON2,AFC11-S20ICC-00 ,FPC20,54.6700,36.5200,180.0000,bottom
CS,DNI,TP-ROUND,47.7300,28.2400,90.0000,bottom
D1,PTVS3V3S1UR 115 ,SOD-123,66.6000,33.4000,0.0000,top
D2,PTVS3V3S1UR 115 ,SOD-123,36.8000,37.6000,90.0000,top
D3,PTVS3V3S1UR 115 ,SOD-123,56.9000,36.6000,90.0000,top
D4,PTVS3V3S1UR 115 ,SOD-123,120.6000,37.4000,270.0000,top
D5,RCLAMP0582BQTCT,SC75,56.4000,43.4000,90.0000,top
DSP,DNI,1X4,16.8700,38.1000,0.0000,top
GND,DNI,TP-ROUND,6.7600,43.1000,180.0000,bottom
H1,DNI,3 2-PAD,8.8011,37.6936,0.0000,top
H2,DNI,3 2-PAD,123.0376,47.0281,0.0000,top
H3,DNI,3 2-PAD,123.2154,28.7147,0.0000,top
IC1,MCP23017T-E/ML ,QFN28[6X6]ML,77.2864,37.5008,135.0000,bottom
IC2,MCP23017T-E/ML ,QFN28[6X6]ML,31.6100,37.4400,135.0000,bottom
LED1,GREEN,LED3MM,96.3900,34.0800,90.0000,top
LED2,BLUE,LED3MM,96.2900,41.6800,90.0000,top
LED3,RED,LED3MM,96.2500,49.7500,90.0000,top
MISO,DNI,TP-ROUND,54.7900,28.2400,90.0000,bottom
MOSI,DNI,TP-ROUND,52.4700,28.2400,90.0000,bottom
O,TS-1002S-04326C ,PUSHBUTTON-6X6,49.8700,37.8800,0.0000,top
PWR,TS-1002S-04326C ,PUSHBUTTON-6X6,113.2900,37.5800,180.0000,top
R1,DNI,0402,25.0400,30.5200,270.0000,bottom
R2,DNI,0402,23.7700,30.5000,90.0000,bottom
R3,DNI,0402,22.5200,30.5000,90.0000,bottom
R4,DNI,0402,29.6400,30.6100,90.0000,bottom
R5,33K 1%,0402,23.4460,35.9040,90.0000,top
R6,33K 1%,0402,62.6840,35.2460,0.0000,top
R7,1K 1%,0402,95.7400,31.0400,0.0000,top
R8,1K 1%,_0603X4-1206,73.4362,41.9297,225.0000,bottom
R9,1K 1%,_0603X4-1206,80.0335,42.8014,135.0000,bottom
R10,1K 1%,0402,95.6000,38.7600,0.0000,top
R11,1K 1%,0402,95.6200,46.7500,0.0000,top
R12,33K 1%,0402,43.3400,35.9040,90.0000,top
R13,33K 1%,0402,106.6754,39.3208,270.0000,top
R14,1K 1%,_0603X4-1206,28.0202,42.3354,225.0000,bottom
R15,1K 1%,_0603X4-1206,33.9061,43.2919,135.0000,bottom
R16,10K 1%,0402,24.2000,37.7000,180.0000,top
R17,10K 1%,0402,64.2000,37.7000,180.0000,top
R18,10K 1%,0402,44.0000,37.7000,180.0000,top
R19,10K 1%,0402,108.0000,37.4000,180.0000,top
SCK,DNI,TP-ROUND,50.0500,28.2400,90.0000,bottom
SCL0,DNI,TP-ROUND,13.9600,36.0400,90.0000,bottom
SDA0,DNI,TP-ROUND,14.0600,33.5600,270.0000,bottom
SEL1,Orange,LED-0805,8.6700,48.4000,0.0000,top
SEL2,Orange,LED-0805,18.8000,48.5000,0.0000,top
SEL3,Orange,LED-0805,28.9200,48.5000,0.0000,top
SEL4,Orange,LED-0805,39.0000,48.5000,0.0000,top
SEL5,Orange,LED-0805,49.1700,48.4900,0.0000,top
SEL6,Orange,LED-0805,59.3300,48.4900,0.0000,top
SEL7,Orange,LED-0805,69.3900,48.4700,0.0000,top
SEL8,Orange,LED-0805,79.4900,48.4700,0.0000,top
T1,DNI,SOT23,27.3500,30.7000,180.0000,bottom
U$1,DNI,DMT,111.8298,45.6867,0.0000,top
U$5,DNI,DMT,106.7715,46.3847,0.0000,top
U$6,DNI,NEXTPCB_SMALL,106.0577,25.7810,0.0000,top
U$7,DNI,NEXTPCB_SMALL,108.3691,27.4701,0.0000,top
U$8,DNI,CE-4MM,85.6107,40.4942,0.0000,top
U$9,DNI,ROHS_LOGO_0.18_IN,86.4108,33.1823,0.0000,top
U$10,DNI,NO_PB_LOGO_0.120,87.0331,47.4726,0.0000,top
