Manufacturer Part Number,Quantity,Manufacturer(Optional),Package(Optional)
RE0716514,16,Viking,2512
RE0013023,3,Vishay,0805
RE0460225,8,KOA,2512
RE0250181,2,YAGEO,0402
RE0015967,1,Yageo,0201
RE0203459,9,FH,0805
RE0015967,1,Yageo,0201
RE0022532,2,Yageo,_0603X4-1206
RE0203459,12,FH,0805
RE0188047,1,Uniohm,0402
RE0203459,3,FH,0805
RE0188047,3,Uniohm,0402
RE0015967,7,Yageo,0201
RE0188047,1,Uniohm,0402
,1,,1206
,1,,0402
,1,,0201
,4,,SMA/DO-214AC
,2,,L-6.6X6.6
CA0136821,8,Samsung,0201
,2,,0603
,1,,0201
,2,,0402
,2,,0805
,1,,0201
,2,,0603
,2,,6.3X7.7(DXL)
,1,,0402
,1,,0402
,1,,_0603X4-1206
,3,,0402
,4,,0201
,1,,SRR5228A
,3,,0201
,1,,0402
,1,,0402
,1,,SRR5228A
,4,,0603
,2,,0201
,2,,0201
,2,,0402
,1,,0402
,1,,0402
,1,,0402
RE0094682,3,Yageo,_0603X4-1206
,1,,0402
,2,,0805
,2,,0201
,4,,0402
,2,,0402
,1,,0201
,3,,0805
,1,,R0201
,1,,0402
,2,,0201
,2,,0201
,1,,0402
,1,,0402
,6,,1206
,1,,WE-XTAL_CFPX-180
,2,,0201
,1,,0402
,24,,0805
,2,,0402
,2,,2512
,2,,0402
,4,,0201
,3,,0402
RE0094681,2,Yageo,_0603X4-1206
CA0137105,10,Yageo,0402
,4,,0201
CA0137105,1,Yageo,0402
,11,,0201
CA0137105,1,Yageo,0402
,14,,0201
,3,,6.3X7.7(DXL)
,2,,6.3X7.7(DXL)
,2,,0805
,32,,0805
,3,,0402
,1,,WE-XTAL_CFPX-180
IS0001505,2,Broadcom,SO16
,1,,FPC20
,2,,B3U-1000P
,1,,0603
PH0093698,1,NATIONSTAR,LED-0603
,1,,C1206
,1,,SON50P300X200X50-9T130X140N
IC0244620,1,Nexperia,TSSOP16
,3,,0402
,1,,R0201
,1,,0402
,8,,RELAY_G2RL-1A-E_DC5_OMR
,5,,LED-0603
,8,,SO8
,1,,IRM_15_12
,1,,IRM_10_12
,1,,J1B1211CCD
,2,,SJ
,1,,SOT23
,8,,SMA/DO-214AC
IC0119727,2,MICROCHIP,SOT23-5
IC0080215,1,MICROCHIP,QFN28[6X6]ML
,1,,SOT23-5
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,2 8-PAD
,1,,3 0-PAD
,1,,3 0-PAD
,2,,SOT23-5
,2,,SOT65P280X110-8N
,2,,R0201
,2,,SOT-523
,1,,QFN56
,1,,SMA/DO-214AC
,1,,SOT143
,1,,SMA/DO-214AC
,46,,TP-ROUND
ZHLM0322921,1,UMW,SO18
,2,,SMA/DO-214AC
,1,,USB-C
,1,,SON127P600X500X75-8N
,1,,LQFP48
