Comment,Designator,Footprint,LCSC Part #
0.002R 1%,R25 R26 R27 R28 R29 R30 R31 R32 R35 R43 R51 R67 R75 R83 R99 R115,2512,C728320
0R 1%,DNI,0402,C17168
0R 1%,J8 J9 J10,0805,C17477
0R 1%,R17 R18 R19 R20 R21 R22 R23 R24,2512,C25469
0R 1%,R57 R91,0402,C17168
0R 1%,R169,1206,C205296
1K 1%,R16,0201,C270365
1K 1%,R33 R34 R40 R41 R42 R48 R49 R50 R56,0805,C17513
1K 1%,R59,0201,C270365
1K 1%,R63 R64,_0603X4-1206,C110021
1K 1%,R65 R66 R72 R73 R74 R80 R81 R82 R88 R97 R98 R104,0805,C17513
1K 1%,R112,0402,C11702
1K 1%,R113 R114 R120,0805,C17513
1K 1%,R122 R123 R151,0402,C11702
1K 1%,R153 R154 R155 R156 R157 R158 R159,0201,C270365
1K 1%,R163,0402,C11702
1M 1%,R110,1206,C17927
1M 1%,R131,0402,C26083
1M 1%,R144,0201,C295786
1N4007,D9 D10 D12 D13,SMA/DO-214AC,C727081
1mH,L3 L5,L-6.6X6.6,C168049
1nF 2kV,C83,1206,C173242
1nF 25V,C106 C107 C108 C109 C110 C111 C112 C113,0201,C7694325V
1nF 50V,C5 C51,0603,C1588
1uF 16V,C102,0201,C307385
1uF 25V,C60 C104,0402,C52923
1uF 50V,C45 C57,0805,C28323
2.2K 1%,R121,0201,C473508
2.2uF 50V,C21 C46,0603,C913904
2.2uF 400V,C35 C47,6.3X7.7(DXL),C3345109
2.4K 1%,R148,0402,C25882
3.3K 1%,R130,0402,C25890
3.3K 1%,R149,_0603X4-1206,C1734380
3.3K 1%,R166 R167 R168,0402,C25890
3.3R 1%,R133 R134 R135 R136,0201,C158547
4.7K 1%,R109 R129 R145,0201,C270346
4.7nF 50V,C78,0402,C1538
4.7uF 25V,C85,0402,C22367824
4.7uH 3.5A,L2,SRR5228A,C14258
4.99K 1%,R60 R61 R105 R107,0603,C23046
5.1K 1%,R124 R125,0201,C274341
6.8nF 50V,C81 C82,0201,C285015
7.5K 1%,R6 R12,0402,C25918
8.2K 1%,R150,0402,C25924
9.09K 1%,R4,0402,C11549
10K 1%,R2,0402,C25744
10K 1%,R89 R90 R93,_0603X4-1206,C110924
10K 1%,R95,0402,C25744
10K 1%,R96 R108,0805,C17414
10K 1%,R126 R127,0201,C473048
10K 1%,R132 R147 R162 R164 R171,0402,C25744
10R 1%,R7 R9,0402,C25077
10R 1%,R152,0201,C270817
10uF 50V,C65 C97 C99,0805,C440198
12.4K 1%,R143,0201,C423760
12.7K 1%,R14,0402,C25853
12MHz,X1,WE-XTAL_CFPX-180,C20625731
15pF 50V,C58 C59,0201,C22374851
18pF 50V,C86 C87,0201,C62164
20K 1%,R8,0402,C25765
22nF 50V,C80,0402,C1532
22uF 25V,C1 C2 C14 C15 C17 C18,1206,C12891
25MHz,X2,WE-XTAL_CFPX-180,C13740
27R 1%,R15 R160,0201,C473051
33K 1%,R10,0402,C25779
33nF 50V,C24 C25 C26 C27 C28 C29 C30 C31 C32 C36 C37 C38 C39 C40 C41 C42 C43 C44 C48 C49 C50 C54 C55 C56,0805,C107150
33pF 50V,C11 C12,0402,C107005
39R 1% 2W,R62 R106,2512,C175263
40.2K 1%,R11 R13,0402,C25893
49.9R 1%,R137 R138 R139 R140,0201,C155744
100K 1%,R3 R5 R94,0402,C25741
100K 1%,RN1 RN2,_0603X4-1206,C110374
100nF 25V,C3 C4 C6 C7 C8 C9 C19 C20 C33 C34,0402,C56392
100nF 25V,C61 C62 C63 C64,0201,C76939
100nF 25V,C66,0402,C56392
100nF 25V,C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C77,0201,C76939
100nF 25V,C79,0402,C56392
100nF 25V,C84 C88 C89 C90 C91 C92 C93 C94 C95 C96 C98 C100 C101 C103 C105,0201,C76939
100uF 25V,C10 C13 C16,6.3X7.7(DXL),C267469
100uF 50V,C23 C53,6.3X7.7(DXL),C3151829
220nF 50V,C22 C52,0805,C5378
470K 1%,R36 R37 R38 R39 R44 R45 R46 R47 R52 R53 R54 R55 R68 R69 R70 R71 R76 R77 R78 R79 R84 R85 R86 R87 R100 R101 R102 R103 R116 R117 R118 R119,0805,C17709
470R 1%,R141 R142 R146,0402,C25117
ACPL-247-500E ,OPT1 OPT2,SO16,C188681
AFC11-S20ICC-00 ,DSP,FPC20,C466537
B3U-1000P ,BT RES,B3U-1000P,C231329
BLM18EG221TN1D,L4,0603,C113025
BSS138,T1,SOT23,
Blue,DAT,LED-0603,C965807
CAT24C256HU4IGT3,IC19,SON50P300X200X50-9T130X140N,C233771
DNI,3V3A 3VDC 3VFB 5V-NI1 5V-NI2 5VDC 5VFB 12VDC ADC12 ADCUSB ADC_TEMP AVDD BOOT CS CS1,TP-ROUND,
DNI,D15,SMA/DO-214AC,C727049
DNI,DVDD,TP-ROUND,
DNI,FAN,02P,
DNI,FB1 FB2 FCTL,TP-ROUND,
DNI,GDRC,1X4,
DNI,GND GND-3 GND-5,TP-ROUND,
DNI,IC1,SOT65P280X110-8N,C45889
DNI,IOVDD,TP-ROUND,
DNI,J2 J7,SJ,
DNI,L-REC1 L-REC2,TP-ROUND,
DNI,L1,SRR5228A,C325964
DNI,MCPVIN MI MISO1 MO MOSI1,TP-ROUND,
DNI,P5ON,LED-0603,C965804
DNI,R1 R58 R92,0402,
DNI,R111 R128,R0201,
DNI,R161,0402,
DNI,R165,R0201,
DNI,R170,1206,C205296
DNI,R172,0402,
DNI,REL0 REL1 REL2 REL3 REL4 REL5 REL6 REL7,TP-ROUND,
DNI,RGTG,1X4,
DNI,RST RX0 SC SCL0 SCL1 SCLK1 SDA0 SDA1 SW SW3 TX0,TP-ROUND,
DNI,U$1 U$2,ESD_10.00,
DNI,U$3,3 2,
DNI,U$4,3 2,
DNI,U$5,DMT,
DNI,U$6,3 2,
DNI,U$7,DMT,
DNI,U$10,OSHW-LOGO-M,
DNI,U$11,ROHS_LOGO_0.18_IN,
DNI,U$12,CE_5MM,
DNI,U$13,NO_PB_LOGO_0.120,
DNI,U$14,ROHS_LOGO_0.18_IN,
DNI,U$15,SMOKE,
DNI,UTX VBUS VCC VCC2 VREF,TP-ROUND,
FASTON-1217861-1,AC_L AC_N L_OUT1 L_OUT2 L_OUT3 L_OUT4 L_OUT5 L_OUT6 L_OUT7 L_OUT8 N_OUT1 N_OUT2 N_OUT3 N_OUT4 N_OUT5 N_OUT6 N_OUT7 N_OUT8,1217861-1,C428480
G2RL-1A-E DC12 ,K1 K2 K3 K4 K5 K6 K7 K8,RELAY_G2RL-1A-E_DC5_OMR,C1564126
Green,P3ON P12ON PROC PWR,LED-0603,C965804
HLW8032,IC6 IC7 IC8 IC10 IC11 IC12 IC14 IC16,SO8,C128023
IRM-10-15 ,AC/DC2,IRM_15_12,C5439799
IRM_10_12,AC/DC1,IRM_10_12,C42418573
J1B1211CCD,ETH1,J1B1211CCD,C910371
LM4040x30,REF1,SOT23,C460604
MBRA340T3G,D1 D2 D3 D4 D5 D6 D7 D8,SMA/DO-214AC,C26178
MCP6001RT-I/OT,IC17 IC22,SOT23-5,C154973
MCP9700AT-E/LT ,IC23,SC70-5,C97546
MCP23017T-E/ML ,IC4,QFN28[6X6]ML,C629439
MIC5504-3.3YM5 ,IC21,SOT23-5,C41348078
MP150GJ,IC5 IC13,SOT23-5,
MP2315GJ-Z ,IC2,SOT65P280X110-8N,C45889
RCLAMP0582BQTCT,D17 D18,SC75,C841193
RP2040,IC15,QFN56,C2040
SMAJ15A,D16,SMA/DO-214AC,C23424
SN74HC151PWR,IC9,TSSOP16,C2653837
SP0503BAHTG,ESD1,SOT143,C3040626
ULN2803AFWG,IC3,SO18,C845537
US1J-E3/61T ,D11 D14,SMA/DO-214AC,C44763
USB-TYPE-C-018 ,USB1,USB-C,C2927038
W25Q128JVPIQ,IC18,SON127P600X500X75-8N,C190862
W5500,IC20,LQFP48,C32843
