Designator,Mid X,Mid Y,Layer,Rotation
3VDC,81.22, 4.73,Bottom,90.0
3VFB,85.92,14.21,Bottom,90.0
5V-NI1,23.99,22.18,Top,0.0
5V-NI2,49.43,20.32,Top,180.0
5VDC,116.91, 3.32,Bottom,0.0
5VFB,98.88,13.71,Bottom,270.0
12VDC,128.39,19.39,Bottom,180.0
AC/DC1,91.47,30.64,Top,0.0
AC/DC2,87.27,33.04,Top,0.0
AC_L, 4.85,89.31,Top,0.0
AC_N, 4.86,77.28,Top,0.0
ADC12,121.99,15.88,Bottom,0.0
BOOT,201.14,20.27,Top,0.0
C1,104.66, 5.65,Top,0.0
C2,88.73, 5.64,Top,0.0
C3,104.66, 7.45,Top,0.0
C4,88.73, 7.44,Top,0.0
C5,28.88,39.11,Top,270.0
C6,104.56,14.35,Top,90.0
C7,88.63,14.34,Top,90.0
C8,109.16,14.05,Top,0.0
C9,93.23,14.04,Top,0.0
C10,120.73,40.66,Top,180.0
C11,100.96,15.35,Top,270.0
C12,85.03,15.74,Top,270.0
C13,120.63,33.16,Top,180.0
C14,111.76, 4.35,Top,270.0
C15,95.83, 4.34,Top,270.0
C16,120.63,25.56,Top,180.0
C17,109.26, 4.35,Top,270.0
C18,93.33, 4.34,Top,270.0
C19,152.13,26.36,Top,315.0
C20,152.95,27.14,Top,315.0
C21,26.28,35.51,Top,0.0
C22,32.58,38.01,Top,270.0
C23,17.28,23.51,Top,270.0
C24,13.38,90.16,Top,270.0
C25,17.13,90.16,Top,270.0
C26,12.00,79.90,Top,0.0
C27,107.98,90.18,Top,270.0
C28,112.23,90.16,Top,270.0
C29,107.37,79.76,Top,0.0
C30,36.68,90.16,Top,270.0
C31,40.43,90.16,Top,270.0
C32,35.95,77.99,Top,0.0
C33,174.67,31.53,Top,0.0
C34,174.67,32.63,Top,0.0
C35,18.29,41.22,Top,270.0
C36,60.38,90.26,Top,270.0
C37,64.13,90.26,Top,270.0
C38,59.47,80.16,Top,0.0
C39,132.20,90.31,Top,270.0
C40,136.53,90.36,Top,270.0
C41,131.67,79.76,Top,0.0
C42,84.08,90.16,Top,270.0
C43,88.43,90.16,Top,270.0
C44,83.37,79.96,Top,0.0
C45,19.38,29.81,Top,0.0
C46,48.48,35.23,Top,0.0
C47,39.74,41.63,Top,270.0
C48,157.20,90.17,Top,270.0
C49,161.23,90.17,Top,270.0
C50,156.25,79.96,Top,0.0
C51,51.38,39.33,Top,270.0
C52,55.05,37.44,Top,270.0
C53,39.88,22.73,Top,270.0
C54,181.39,89.97,Top,270.0
C55,186.13,89.97,Top,270.0
C56,180.95,79.76,Top,0.0
C57,41.58,28.93,Top,0.0
C58,160.10,25.10,Top,180.0
C59,168.20,25.00,Top,0.0
C60,142.31,23.32,Top,0.0
C61,142.32,26.09,Top,0.0
C62,142.30,26.89,Top,0.0
C63,142.32,27.79,Top,0.0
C64,142.32,29.05,Top,0.0
C65,171.11,10.00,Top,180.0
C66,171.78,11.65,Top,180.0
C67,161.34, 9.99,Top,270.0
C68,160.79, 8.18,Top,0.0
C69,164.55,10.05,Top,90.0
C70,167.97,17.91,Top,90.0
C71,146.01,18.97,Top,0.0
C72,146.03,13.95,Top,180.0
C73,149.22,15.52,Top,180.0
C74,155.77,23.19,Top,90.0
C75,155.90, 9.90,Top,270.0
C76,162.00,15.84,Top,0.0
C77,157.76,23.19,Top,90.0
C78,167.97, 4.77,Top,90.0
C79,195.92,17.53,Top,90.0
C80,188.29,17.77,Top,90.0
C81,193.30,24.31,Top,270.0
C82,194.04,24.32,Top,270.0
C83,205.65,11.24,Top,270.0
C84,199.80,35.55,Top,0.0
C85,200.68,33.92,Top,0.0
C86,192.11,39.91,Top,180.0
C87,194.75,39.91,Top,0.0
C88,194.50,39.17,Top,180.0
C89,187.26,31.92,Top,180.0
C90,187.26,32.92,Top,180.0
C91,195.63,27.42,Top,180.0
C92,199.66,31.01,Top,270.0
C93,194.37,27.42,Top,0.0
C94,199.66,32.31,Top,270.0
C95,199.81,34.81,Top,0.0
C96,191.94,27.59,Top,180.0
C97,181.23,17.89,Top,90.0
C98,181.00,15.42,Top,0.0
C99,175.81,17.14,Top,270.0
C100,178.59,19.07,Top,90.0
C101,152.76,22.43,Top,180.0
C102,142.32,30.33,Top,0.0
C103,181.87,36.39,Top,0.0
C104,142.33,31.58,Top,0.0
C105,149.19,19.09,Top,180.0
C106,172.20,51.60,Top,90.0
C107,169.70,51.60,Top,90.0
C108,167.10,51.60,Top,90.0
C109,164.60,51.60,Top,90.0
C110,187.60,51.60,Top,90.0
C111,185.20,51.60,Top,90.0
C112,182.50,51.50,Top,90.0
C113,180.00,51.50,Top,90.0
C114,149.17,17.33,Top,180.0
C115,150.39,10.57,Top,270.0
C116,151.12,10.57,Top,270.0
C117,155.19, 9.90,Top,270.0
C118,159.29, 9.93,Top,270.0
C119,158.58, 9.93,Top,270.0
C120,161.96,13.89,Top,0.0
C121,162.13,18.81,Bottom,0.0
C122,142.32,32.87,Top,0.0
C123,127.80,31.15,Top,270.0
CS1,203.71,34.00,Bottom,180.0
D1,33.98,57.47,Top,90.0
D2,57.69,57.52,Top,90.0
D3,81.29,57.04,Top,90.0
D4,105.28,56.87,Top,90.0
D5,129.06,57.09,Top,90.0
D6,153.00,56.59,Top,90.0
D7,177.93,58.08,Top,90.0
D8,202.83,57.74,Top,90.0
D9,32.68,27.31,Top,270.0
D10,26.90,44.80,Top,0.0
D11,18.88,33.31,Top,180.0
D12,48.28,44.91,Top,0.0
D13,55.08,26.93,Top,270.0
D14,40.58,33.73,Top,180.0
D15,119.01, 9.67,Top,180.0
D16,121.79,19.82,Top,0.0
D17,143.51, 9.50,Top,0.0
D18,154.29,33.50,Top,45.0
DAT,179.40,33.57,Top,0.0
DSP,136.69, 3.80,Top,180.0
ESD1,175.22,11.75,Top,90.0
ETH1,191.48, 4.92,Top,0.0
FB1,29.68,33.51,Top,0.0
FB2,52.08,33.43,Top,0.0
GND,128.34,17.13,Bottom,0.0
GND-3,88.33, 4.93,Bottom,180.0
GND-5,123.65, 5.08,Bottom,180.0
IC1,104.36,10.25,Top,90.0
IC2,88.43,10.24,Top,90.0
IC3,135.81,29.05,Top,90.0
IC4,148.45,29.95,Top,135.0
IC5,48.08,38.23,Top,90.0
IC6,13.16,83.72,Top,270.0
IC7,108.40,83.73,Top,270.0
IC8,37.20,83.84,Top,270.0
IC9,170.37,33.73,Top,180.0
IC10,60.97,83.99,Top,270.0
IC11,132.45,83.62,Top,270.0
IC12,84.34,84.01,Top,270.0
IC13,25.88,38.11,Top,90.0
IC14,157.11,83.74,Top,270.0
IC15,164.94,20.25,Top,270.0
IC16,181.74,83.66,Top,270.0
IC17,164.90,28.00,Top,270.0
