EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
C13_IN2	0.000000000	0.000000000	--	--
C13_IN3	0.000000000	0.000000000	--	--
C13_IN4	0.000000000	0.000000000	--	--
C13_IN5	0.000000000	0.000000000	--	--
C13_IN6	0.000000000	0.000000000	--	--
C13_IN7	0.000000000	0.000000000	--	--
C13_IN8	0.000000000	0.000000000	--	--
N$25	0.000000000	0.000000000	--	--
N$78	0.000000000	0.000000000	--	--
N$108	0.000000000	0.000000000	--	--
OUT_2	0.000000000	0.000000000	--	--
OUT_3	0.000000000	0.000000000	--	--
OUT_4	0.000000000	0.000000000	--	--
OUT_5	0.000000000	0.000000000	--	--
OUT_6	0.000000000	0.000000000	--	--
OUT_7	0.000000000	0.000000000	--	--
OUT_8	0.000000000	0.000000000	--	--
RX_CH1	0.000000000	0.000000000	--	--
RX_CH2	0.000000000	0.000000000	--	--
RX_CH3	0.000000000	0.000000000	--	--
RX_CH4	0.000000000	0.000000000	--	--
RX_CH5	0.000000000	0.000000000	--	--
RX_CH6	0.000000000	0.000000000	--	--
RX_CH7	0.000000000	0.000000000	--	--
RX_CH8	0.000000000	0.000000000	--	--
N$102	1.033334375	1.033334375	--	--
USB_SEL	1.089386002	1.089386002	--	--
N$58	1.210000000	1.210000000	--	--
N$103	1.214142136	1.214142136	--	--
N$113	1.427401154	1.427401154	--	--
RDC_RD_P	1.476006645	1.476006645	--	--
RDC_RD_N	1.477858853	1.477858853	--	--
CC2	1.487931371	1.487931371	--	--
N$109	1.504852814	1.504852814	--	--
CC1	1.578323535	1.578323535	--	--
N$14	1.634112698	1.634112698	--	--
N$38	1.634112698	1.634112698	--	--
N$39	1.695216479	1.695216479	--	--
N$43	1.717817459	1.717817459	--	--
N$16	1.722611183	1.722611183	--	--
N$93	2.177964059	2.177964059	--	--
N$1	2.242555339	2.242555339	--	--
N$49	2.260000000	2.260000000	--	--
N$61	2.260000000	2.260000000	--	--
N$99	2.304852814	2.304852814	--	--
N$27	2.360000000	2.360000000	--	--
N$33	2.360000000	2.360000000	--	--
N$67	2.360000000	2.360000000	--	--
N$73	2.360000000	2.360000000	--	--
N$85	2.360000000	2.360000000	--	--
N$97	2.360000000	2.360000000	--	--
N$24	2.449662120	2.449662120	--	--
N$28	2.460000000	2.460000000	--	--
N$50	2.460000000	2.460000000	--	--
N$62	2.460000000	2.460000000	--	--
N$74	2.460000000	2.460000000	--	--
N$86	2.460000000	2.460000000	--	--
N$34	2.460000000	2.460000000	--	--
N$68	2.460000000	2.460000000	--	--
N$98	2.460000000	2.460000000	--	--
N$94	2.503909081	2.503909081	--	--
N$29	2.504852814	2.504852814	--	--
N$35	2.540000000	2.540000000	--	--
N$69	2.540000000	2.540000000	--	--
N$63	2.540000000	2.540000000	--	--
N$51	2.540000000	2.540000000	--	--
N$75	2.540000000	2.540000000	--	--
N$87	2.540000000	2.540000000	--	--
N$18	2.570371716	2.570371716	--	--
N$41	2.576815367	2.576815367	--	--
N$54	2.648177114	2.648177114	--	--
N$45	2.746244733	2.746244733	--	--
N$46	2.746244733	2.746244733	--	--
RX_RD_P	3.543879534	3.543879534	--	--
RX_RD_N	3.547004080	3.547004080	--	--
N$37	3.615824082	3.615824082	--	--
N$3	3.782935238	3.782935238	--	--
N$5	3.912278109	3.912278109	--	--
N$56	3.938547575	3.938547575	--	--
N$26	4.191421356	4.191421356	--	--
N$79	4.291421356	4.291421356	--	--
VCCIO	4.562081528	4.562081528	--	--
TX_TD_P	4.619038970	4.619038970	--	--
TX_TD_N	4.642347519	4.642347519	--	--
XO	4.803785246	4.803785246	--	--
C13_IN1	5.072713560	5.072713560	--	--
CHASSIS	5.375378931	5.375378931	--	15.490000
N$92	5.562228896	5.562228896	--	--
REL_5	5.676890168	5.676890168	--	--
REL_4	5.757194528	5.757194528	--	--
REL_3	6.424426712	6.424426712	--	--
REL_6	6.472181653	6.472181653	--	--
REL_2	6.664670193	6.664670193	--	--
N$101	6.764849193	6.764849193	--	--
REL_1	6.919328306	6.919328306	--	--
N$53	6.971555055	6.971555055	--	--
N$9	7.017963534	7.017963534	--	--
QSPI_SD1	7.025379155	7.025379155	--	--
QSPI_SD2	7.131003328	7.131003328	--	--
N$40	7.137417878	7.137417878	--	--
REL_0	7.145157155	7.145157155	--	--
REL_7	7.267471307	7.267471307	--	--
OUT_1	7.732549362	7.732549362	--	--
TCT	8.156565381	8.156565381	--	--
RP_XO	8.229245400	8.229245400	--	--
N$80	9.060034428	9.060034428	--	--
N$81	9.778531831	9.778531831	--	--
N$89	10.019904773	10.019904773	--	--
N$57	10.173694630	10.173694630	--	--
N$55	10.334924240	10.334924240	--	--
VREF	10.361524790	10.361524790	--	--
N$21	10.544452898	10.544452898	--	--
N$17	11.091200676	11.091200676	--	--
N$44	11.440459521	11.440459521	--	--
REGO	11.531295090	11.531295090	--	--
ADC_V_USB	11.869075728	11.869075728	--	--
QSPI_SD0	12.017704641	12.017704641	--	--
N$19	13.005922059	13.005922059	--	--
N$90	13.235245319	13.235245319	--	--
5VFB	13.804924240	13.804924240	--	--
QSPI_SCLK	13.853421967	13.853421967	--	--
N$7	14.025289448	14.025289448	--	--
N$88	14.193636892	14.193636892	--	--
N$36	14.254763875	14.254763875	--	--
N$23	14.290023186	14.290023186	--	--
TX_MUX1	14.601505791	14.601505791	--	--
N$70	14.618747570	14.618747570	--	--
N$6	14.675346082	14.675346082	--	--
N$100	14.699221770	14.699221770	--	--
SWDIO	14.700330106	14.700330106	--	--
N$52	14.946301367	14.946301367	--	--
N$76	14.954655941	14.954655941	--	--
N$64	14.961813228	14.961813228	--	--
N$30	15.027692478	15.027692478	--	--
RP_XI	15.384003817	15.384003817	--	--
RELAY_6	15.466693201	15.466693201	--	--
