Comment,Designator,Footprint,LCSC Part #
0R,R12 R15 R46 R47,0402,
1K,R16 R19,0402,
1M,R13 R39,0402,
1uF,C21,C0402,
2.2K 1%,R20,0402,
3.3R,R1 R2 R3 R4,0402,
4.2uH,L3,SRR5228A,
4.7K,R14 R17 R27 R28 R48 R49,0402,
4.7nF,C54,0402,
4.7uF,C7,C0402,
4.9uH,L2,SRR5228A,
4D03WGJ0332T5E,R38,742C083103JP,
5.1K,R23 R24,0402,
5.6K,R25,0402,
6.8nF,C3 C4,C0402,
7.5K,R32 R37,0402,
9.09K,R33,0402,
10K,R26 R50,0402,
10R,R34 R41,0402,
10uF,C26,0805,
12.4K 1%,R11,0402,
12.7K,R44,0402,
15pF,C19 C20,C0402,
18pF,C8 C9,C0402,
20K,R35,0402,
22nF,C2,C0402,
27R,R21 R22,0402,
33K,R42,0402,
33pF,C43 C52,0402,
40.2K,R36 R43,0402,
49.9R,R5 R6,C0402,
49.9R,R7 R8,0402,
100K,R29 R45,0402,
100nF,C1 C6 C10 C11 C12 C13 C14 C15 C16 C17 C18 C22 C23 C24 C25,C0402,
100nF,C27,0402,
100nF,C28 C29 C30 C31 C32 C33 C34 C35,C0402,
100nF,C36,0402,
100nF,C37 C38 C39,C0402,
100nF,C40 C42 C48 C49 C51,0402,
100nF,C55 C56,C0402,
470R,R9 R10 R40,0402,
499K,R30 R31,0402,
B3U-1000P-B,RESET USB_BOOT,SWITCH-OMRON_B3U-1000P,
BLM18EG221TN1D,L1,0603,
C1206C102KGRACTM,C5,C1206,
CAT24C256WI-GT3,IC6,SON50P300X200X50-9T130X140N,
CL31A226KAHNNNE - 22uF 25V,C44 C45,C1206,
CL31A226KPHNNNE - 22uF - 10V,C46 C47 C53 C57,C1206,
DNI,R18,0402,
LM4040BXX,REF1,SOT23,
MCP23S18-E/MJ,IC8,QFN50P400X400X100-25T265,
MCP6001AIDBVRG,IC3,SOT23-5,
MP2315GJ-Z,IC7,SOT65P280X110-8N,
MP2315S ,IC5,SOT65P280X110-8N,
RL250001791,X1,OSCCC500X320X130,
RP2040,IC2,QFN40P700X700X100-57T510,
SP0503BAHTG-ES,ESD1,SOT143,
SX3M12.000B10F20TNN,X2,OSCCC500X320X130,
TP,3V3DC 5VDC 12VFB AVDD DVDD GND GND-3 GND-5 IOVDD SW3 SW5 VBUS VFB3 VFB5 VREF,TP,
USB-TYPE-C-018,USBC,629722000214,
W25Q128JVPIQ,IC4,SON127P600X500X75-8N,
W5500,IC1,LQFP48,
