Designator,Mid X,Mid Y,Layer,Rotation
3V3DC,35.14,27.49,Top,180.0
5VDC,35.07,45.55,Top,0.0
12VFB,37.50,49.30,Top,0.0
AVDD,68.85,35.81,Top,270.0
C1,55.27,19.42,Top,0.0
C2,49.70,20.64,Top,180.0
C3,55.78,24.04,Top,270.0
C4,56.98,24.02,Top,270.0
C5,61.32,20.03,Top,0.0
C6,63.27,40.07,Top,0.0
C7,63.25,37.88,Top,0.0
C8,46.63,39.57,Top,180.0
C9,46.50,46.53,Top,0.0
C10,48.98,35.38,Top,180.0
C11,59.12,43.42,Top,0.0
C12,48.98,36.63,Top,180.0
C13,63.27,35.17,Top,0.0
C14,56.67,30.48,Top,270.0
C15,54.67,30.48,Top,270.0
C16,63.27,36.77,Top,0.0
C17,60.92,32.07,Top,0.0
C18,63.27,38.97,Top,0.0
C19,56.00,56.32,Top,0.0
C20,50.92,58.86,Top,90.0
C21,73.41,45.61,Top,90.0
C22,74.55,45.61,Top,90.0
C23,68.99,41.93,Top,270.0
C24,71.73,39.69,Top,180.0
C25,79.38,50.00,Top,270.0
C26,69.67,10.91,Top,180.0
C27,69.17,13.95,Top,180.0
C28,68.40,55.97,Top,0.0
C29,69.11,48.28,Top,0.0
C30,69.34,52.01,Top,0.0
C31,61.58,45.27,Top,270.0
C32,65.66,46.17,Top,270.0
C33,56.14,51.72,Top,180.0
C34,62.38,59.73,Top,90.0
C35,66.80,46.47,Top,270.0
C36,29.74,17.12,Top,90.0
C37,69.11,49.98,Top,0.0
C38,56.12,50.55,Top,180.0
C39,69.77,53.10,Top,0.0
C40,22.59,17.47,Top,90.0
C42,23.89,21.62,Top,90.0
C43,21.04,12.86,Top,0.0
C44,32.50,35.25,Top,90.0
C45,31.65,17.30,Top,90.0
C46,34.50,43.25,Top,0.0
C47,35.10,24.95,Top,0.0
C48,30.75,35.23,Top,90.0
C49,23.92,35.33,Top,90.0
C51,23.92,38.58,Top,90.0
C52,22.58,31.11,Top,0.0
C53,34.55,39.70,Top,0.0
C54,78.82,11.41,Top,180.0
C55,55.60,67.86,Top,315.0
C56,54.78,67.06,Top,315.0
C57,35.05,22.35,Top,0.0
DVDD,46.55,49.83,Top,90.0
ESD1,73.99,12.43,Top,90.0
GND,77.40,35.80,Top,270.0
GND-3,37.59,18.82,Top,180.0
GND-5,34.80,34.50,Top,270.0
IC1,56.17,37.33,Top,90.0
IC2,63.12,52.29,Top,270.0
IC3,71.73,41.88,Top,90.0
IC4,75.82,53.56,Top,270.0
IC5,26.65,17.23,Top,180.0
IC6,70.23,63.05,Top,90.0
IC7,27.92,34.91,Top,180.0
IC8,50.70,67.10,Top,135.0
IOVDD,71.45,35.85,Top,270.0
L1,50.45,33.13,Top,0.0
L2,28.83,41.63,Top,90.0
L3,29.18,23.68,Top,90.0
R1,52.41,27.11,Top,270.0
R2,53.51,27.12,Top,270.0
R3,56.96,27.12,Top,270.0
R4,55.81,27.10,Top,270.0
R5,54.62,24.02,Top,90.0
R6,58.12,24.02,Top,90.0
R7,54.62,27.12,Top,90.0
R8,51.27,27.12,Top,90.0
R9,60.78,27.16,Top,270.0
R10,59.58,27.14,Top,270.0
R11,60.92,30.82,Top,180.0
R12,50.16,42.37,Top,0.0
R13,50.18,43.52,Top,0.0
R14,49.66,39.98,Top,270.0
R15,54.55,61.85,Top,180.0
R16,52.95,56.32,Top,0.0
R17,74.50,42.33,Top,270.0
R18,79.38,53.31,Top,270.0
R19,79.38,56.61,Top,270.0
R20,69.17,12.68,Top,180.0
R21,73.23,15.99,Top,90.0
R22,74.75,15.99,Top,90.0
R23,77.09,14.56,Top,90.0
R24,71.45,14.46,Top,90.0
R25,69.19,15.38,Top,180.0
R26,67.13,14.72,Top,270.0
R27,68.12,63.76,Top,90.0
R28,70.23,60.25,Top,180.0
R29,29.31,30.33,Top,90.0
R30,29.76,14.05,Top,270.0
R31,30.73,31.53,Top,270.0
R32,27.39,14.91,Top,180.0
R33,28.68,32.46,Top,180.0
R34,26.04,37.94,Top,0.0
R35,25.64,32.46,Top,180.0
R36,22.60,32.43,Top,0.0
R37,25.62,31.11,Top,0.0
R38,65.15,63.81,Top,0.0
R39,78.82,10.14,Top,180.0
R40,49.73,19.35,Top,180.0
R41,24.59,19.54,Top,0.0
R42,24.13,14.01,Top,180.0
R43,21.03,14.01,Top,0.0
R44,24.18,12.86,Top,0.0
R45,28.04,12.87,Top,90.0
R46,62.80,69.65,Top,0.0
R47,62.80,70.85,Top,0.0
R48,37.00,52.15,Top,180.0
R49,40.10,52.15,Top,180.0
R50,61.80,72.90,Top,0.0
REF1,70.49,45.61,Top,90.0
RESET,68.45,74.40,Top,0.0
SW3,23.88,24.63,Top,90.0
SW5,23.47,43.13,Top,90.0
USBC,74.50, 3.54,Top,0.0
USB_BOOT,77.09,61.69,Top,180.0
VBUS,65.75,21.21,Top,90.0
VFB3,22.68, 9.96,Top,0.0
VFB5,23.95,28.45,Top,180.0
VREF,74.15,35.85,Top,270.0
X1,46.61,43.06,Top,90.0
X2,54.48,59.11,Top,180.0
