EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
N$5	2.349671140	0.000000000	0.000	--
N$4	2.675243000	0.325571860	13.856	--
N$23	3.002758931	0.653087792	27.795	--
RDC_RD_P	3.354222408	1.004551269	42.753	--
RDC_RD_N	3.382304782	1.032633642	43.948	--
N$1	4.470881384	2.121210245	90.277	--
QSPI_SD0	5.867807140	3.518136001	149.729	--
CC1	6.273412839	3.923741700	166.991	--
RX_RD_P	6.500093288	4.150422148	176.638	--
TX_TD_P	6.518596825	4.168925685	177.426	--
RX_RD_N	6.518632470	4.168961331	177.427	--
TX_TD_N	6.524729365	4.175058225	177.687	--
CC2	6.829800574	4.480129435	190.670	--
QSPI_SCLK	7.526091411	5.176420272	220.304	--
RP_XO	8.274110240	5.924439100	252.139	--
QSPI_SD3	8.657167889	6.307496749	268.442	--
USB_BOOT	8.882733691	6.533062551	278.042	--
N$14	9.072620430	6.722949291	286.123	--
QSPI_SD2	10.484941604	8.135270464	346.230	--
QSPI_SD1	13.212426383	10.862755244	462.310	--
TCT	13.993929650	11.644258510	495.570	--
XO	14.033984953	11.684313814	497.274	--
RP_XI	14.996701098	12.647029958	538.247	--
DP_P	16.800079715	14.450408576	614.997	--
N$7	17.067078928	14.717407789	626.360	--
VREF	18.108031740	15.758360600	670.662	--
!QSPI_SS	18.744084625	16.394413485	697.732	--
RCT	19.194623443	16.844952304	716.907	--
DP_N	19.935764209	17.586093069	748.449	--
!SPI0_CS	20.455683833	18.106012693	770.576	--
SPI0_SCK	20.485123785	18.135452645	771.829	--
!RST	22.817934873	20.468263733	871.112	--
SPI0_MOSI	22.892777814	20.543106675	874.297	--
RD_N	23.000971820	20.651300680	878.902	--
RD_P	23.000972028	20.651300888	878.902	--
USB_SHIELD	23.163903171	20.814232032	885.836	--
SPI0_MISO	23.842475321	21.492804182	914.715	--
TD_P	24.113072334	21.763401195	926.232	--
TD_N	24.145143194	21.795472055	927.597	--
AVDD	24.592814442	22.243143303	946.649	--
!INT	25.615291815	23.265620675	990.165	--
+5V	25.624995667	23.275324528	990.578	--
!LINK	25.890186576	23.540515437	1001.864	--
!ACT	26.915431298	24.565760159	1045.498	--
N$3	28.742413260	26.392742120	1123.253	--
N$2	29.906881297	27.557210158	1172.811	--
+1V1	31.597912163	29.248241023	1244.780	--
SWDIO	32.474527783	30.124856643	1282.088	--
SWCLK	39.039728562	36.690057423	1561.498	--
N$17	39.206994254	36.857323114	1568.616	--
CHASSIS	43.232230658	40.882559518	1739.927	--
V_USB	44.085568995	41.735897856	1776.244	--
VBUS	44.196611943	41.846940804	1780.970	--
MCP_REL_RST	47.719794430	45.370123291	1930.914	--
+12V_MEA	52.713854828	50.364183688	2143.457	--
USB_DP_N	54.000971987	51.651300847	2198.235	--
USB_DP_P	54.000972639	51.651301499	2198.235	--
+3V3_A	56.505435884	54.155764744	2304.823	--
LCD_RES	57.090704397	54.741033258	2329.732	--
MCP_DSP_RST	61.547612054	59.197940915	2519.414	--
KEY_2	63.384006877	61.034335737	2597.569	--
KEY_0	64.853436654	62.503765514	2660.107	--
KEY_3	66.052270907	63.702599767	2711.128	--
KEY_1	67.960292650	65.610621511	2792.332	--
UART0_TX	73.294278198	70.944607058	3019.342	--
LCD_MOSI	73.815523888	71.465852749	3041.526	--
I2C0_SDA	73.987006264	71.637335124	3048.824	--
UART0_RX	75.696604633	73.346933494	3121.583	--
LCD_BL	76.184418573	73.834747434	3142.344	--
LCD_SCLK	77.159340435	74.809669295	3183.836	--
I2C0_SCL	78.490743089	76.141071949	3240.499	--
LCD_CS	78.963587723	76.613916583	3260.623	--
LCD_DC	82.579805161	80.230134021	3414.526	--
LCD_MISO	83.100827108	80.751155968	3436.700	--
I2C1_SCL	84.312689649	81.963018510	3488.276	--
I2C1_SDA	84.430871467	82.081200327	3493.306	--
GND	181.989896672	179.640225533	7645.335	--
+3V3	321.162417815	318.812746676	13568.399	--
