Comment,Designator,Footprint,LCSC Part #
0R,R15,0402,
1K,R16 R19,0402,
1M,R13 R39,0402,
1uF,C21,C0402,
2.2K 1%,R20,0402,
3.3R,R1 R2 R3 R4,0402,
4.7K,R14 R17 R28,0402,
4.7nF,C54,0402,
4.7uF,C7,C0402,
4D03WGJ0332T5E,R30 R38,742C083103JP,
5.1K,R23 R24,0402,
6.8nF,C3 C4,C0402,
10K,R12 R25 R26 R29 R50,0402,
10uF,C26 C36 C41,0805,
12.4K 1%,R11,0402,
15pF,C19 C20,C0402,
18pF,C8 C9,C0402,
22nF,C2,C0402,
27R,R21 R22,R0201,
49.9R,R5 R6,C0402,
49.9R,R7 R8,0402,
100nF,C1 C6 C10 C11 C12 C13 C14 C15 C16 C17 C18 C22 C23 C24 C25,C0402,
100nF,C27,0402,
100nF,C28 C29 C30 C31 C32 C33 C34 C35 C37 C38 C39,C0402,
100nF,C40 C42,0402,
470R,R9 R10 R40,0402,
687320124422,DISPBOARD RELAYBOARD,687320124422,
BLM18EG221TN1D,L1,0603,
C1206C102KGRACTM,C5,C1206,
CAT24C512HU5IGT3,IC6,SON50P300X200X50-9T130X140N,
DNI,R18,0402,
K5A1200015304P,X2,OSCCC500X320X130,
LM4040BXX,REF1,SOT23,
MCP6001R,IC3,SOT23-5,
MIC5504-3.3YM5-TR,IC5,SOT23-5,
NC,R27,0402,
RP2040,IC2,QFN40P700X700X100-57T510,
RS032G05A3SM-SPST-MOMENTARY-SWSMD-1101NE,BOOT RESET,TACTILE-SWITCH-1101NE,
SP0503BAHTG-ES,ESD1,SOT143,
TP,AVDD DVDD IOVDD VBUS VREF,TP,
USB-TYPE-C-018,USBC,629722000214,
W25Q128JVPIQ,IC4,SON127P600X500X75-8N,
W5500,IC1,LQFP48,
XC53M4-25.000-F18NJDTL,X1,OSCCC500X320X130,
