Comment,Designator,Footprint,LCSC Part #
,CON3 CON4,2X7-SIDE,
0R,R17 R19 R20,0402,
1K,R28 R29 R30,0402,
2.2uF,C13 C14 C15 C16,0402,
4D03WGJ0102T5E 1K,R26 R27,742C083103JP,
10K,R21 R22 R23 R24 R25,0402,
100nF,C11 C12 C17 C18 C19 C20 C21 C22,0402,
128X64OLED,DISP2,UG2864,
390K,R16,0402,
DNI,R18,0402,
MCP23S18-E/MJ,IC1,QFN50P400X400X100-25T265,
,CON3 CON4,2X7-SIDE,
,OUT-1 OUT-2 OUT-3 OUT-4 OUT-5 OUT-6 OUT-7 OUT-8 PWR,CHIP-LED0805,
TC-6601-5.0-160,BUT+1 BUT-1 BUT_PWR1 BUT_SET1,4.30182E+11,
XL-2012SURC,FAULT,CHIP-LED0805,
XL-2012UBC,ETH,CHIP-LED0805,
