Comment,Designator,Footprint,LCSC Part #
,OUT-1 OUT-2 OUT-3 OUT-4 OUT-5 OUT-6 OUT-7 OUT-8 PWR,CHIP-LED0805,
1K,R28 R29 R30,0402,
4D03WGJ0102T5E 1K,R26 R27,742C083103JP,
10K,R4 R21 R22 R23 R24,0402,
10uF,C1 C15,C0402,
56R,R1 R2 R3,0402,
100nF,C2 C16 C17 C18 C19 C20 C21 C22,C0402,
BSS138,T1,SOT23,
FPC40-HD,TFT,FPC40_3.5TFT,
MCP23017-E/ML,IC2,QFN28[6X6]ML,
TC-6601-5.0-160,BUT+1 BUT-1 BUT_PWR1 BUT_SET1,430182043816,
XL-2012SURC,FAULT,CHIP-LED0805,
XL-2012UBC,ETH,CHIP-LED0805,
FPC20-H,DISPBOARD,FPC20,
TP,3V3 5V BL CS DC GND I2C_SCL I2C_SDA KEY0 KEY1 KEY2 KEY3 LCD_RES MCP_RES MISO MOSI SCK,TP,
