Designator,Mid X,Mid Y,Layer,Rotation
D1,19.09,39.72,Top,180.0
D2,35.52,39.22,Top,180.0
D3,51.45,39.22,Top,180.0
D4,67.38,39.22,Top,180.0
D5,83.31,39.22,Top,180.0
D6,99.24,39.22,Top,180.0
D7,115.59,39.33,Top,180.0
D8,131.02,39.33,Top,180.0
IC1,119.40,56.30,Top,90.0
R1,79.25,53.95,Top,270.0
R2,82.14,53.95,Top,270.0
R3,85.03,53.95,Top,270.0
R4,87.92,53.95,Top,270.0
R5,90.81,53.95,Top,270.0
R6,93.70,53.95,Top,270.0
R7,96.59,53.95,Top,270.0
R8,99.40,53.90,Top,270.0
R9,75.20,70.80,Top,90.0
R10,77.30,70.80,Top,90.0
