Designator,Mid X,Mid Y,Layer,Rotation
3VDC,135.50,20.30,Top,0.0
3VFB,135.50,18.10,Top,180.0
5V-NI1,72.70,57.80,Top,0.0
5V-NI2,82.80,35.30,Top,0.0
5VDC,153.40,19.70,Top,180.0
5VFB,153.50,17.30,Top,180.0
12VDC,121.20, 4.60,Top,0.0
C1,145.70,10.90,Top,270.0
C2,128.90,10.90,Top,270.0
C3,147.50,10.90,Top,270.0
C4,130.70,10.90,Top,270.0
C5,55.60,60.80,Top,0.0
C6,154.40,11.00,Top,0.0
C7,137.60,11.00,Top,0.0
C8,154.10, 6.40,Top,270.0
C9,137.30, 6.40,Top,270.0
C10,115.70, 8.10,Top,270.0
C11,155.80,14.60,Top,180.0
C12,139.00,14.60,Top,180.0
C13,108.00, 8.10,Top,270.0
C14,144.40, 3.80,Top,180.0
C15,127.60, 3.80,Top,180.0
C16,100.40, 8.10,Top,270.0
C17,144.40, 6.30,Top,180.0
C18,127.60, 6.30,Top,180.0
C19,143.55,39.94,Top,315.0
C20,144.40,40.79,Top,315.0
C21,59.20,58.20,Top,90.0
C22,56.70,64.50,Top,0.0
C23,71.10,50.30,Top,0.0
C24, 5.13,107.72,Top,180.0
C25, 5.13,105.48,Top,180.0
C26,13.30,92.25,Top,180.0
C27,111.23,110.42,Top,180.0
C28,111.23,108.18,Top,180.0
C29,118.80,92.95,Top,180.0
C30,32.13,110.02,Top,180.0
C31,32.13,107.78,Top,180.0
C32,39.70,94.85,Top,180.0
C33,150.90,27.70,Top,0.0
C34,150.90,28.80,Top,0.0
C35,47.10,52.50,Top,90.0
C36,58.43,110.12,Top,180.0
C37,58.43,107.88,Top,180.0
C38,66.00,92.65,Top,180.0
C39,137.83,110.72,Top,180.0
C40,137.83,108.28,Top,180.0
C41,145.20,92.85,Top,180.0
C42,84.73,110.72,Top,180.0
C43,84.73,108.48,Top,180.0
C44,92.30,93.25,Top,180.0
C45,64.90,51.30,Top,90.0
C46,69.30,35.80,Top,90.0
C47,56.60,29.30,Top,90.0
C48,32.07, 4.28,Top,0.0
C49,32.07, 6.52,Top,0.0
C50,24.50,21.75,Top,0.0
C51,65.20,38.70,Top,0.0
C52,66.40,42.60,Top,0.0
C53,81.80,27.20,Top,0.0
C54,59.57, 4.08,Top,0.0
C55,59.57, 6.32,Top,0.0
C56,52.00,21.55,Top,0.0
C57,75.60,28.90,Top,90.0
D1,20.61,71.98,Top,0.0
D2,47.18,71.58,Top,0.0
D3,73.75,71.88,Top,0.0
D4,100.32,72.08,Top,0.0
D5,127.29,72.08,Top,0.0
D6,153.06,71.98,Top,0.0
D7,16.69,42.43,Top,180.0
D8,43.82,42.53,Top,180.0
D9,67.40,63.60,Top,0.0
