Comment,Designator,Footprint,LCSC Part #
,CH1 CH2 CH3 CH4 CH5 CH6 CH7 CH8,0805,C5875740
1K,R7 R10 R11,0402,C25543
10K,R5 R6 R12 R13,0402,C25744
100nF,C7 C8 C9 C10,C0402,C1525
0.5-40PFGPZ,CON1,FPC40_3.5TFT,C9160
DNI,< > O S4,"
SMD,6x6mm",
DNI,R8 R9 R14 R15,742C083103JP,
10K,R4,0402,C25744
10uF,C1,C0402,C15525
56R,R1 R2 R3,0402,C137957
100nF,C5 C6 C11 C12,C0402,C1525
AFC11-S20ICC-00,CON2,FPC20,C11073
BSS138,T1,SOT23,C7420339
DNI,IC1 IC2,QFN28[6X6]ML,
DNI,TP1 TP2 TP3 TP16,TP,
DNI,SEL1 SEL2 SEL3 SEL4 SEL5 SEL6 SEL7 SEL8,0805,
DNI,C3 C4 C2,0402,
