Designator,Mid X,Mid Y,Layer,Rotation
<,24.74,27.29,Top,180
>,64.76,27.31,Top,180
C2,55,32.25,Top,0
C3,54.35,36.1,Top,0
C4,54.35,34.85,Top,0
C7,18.94,28.94,Top,90
C8,58.86,28.96,Top,90
C9,38.8,28.94,Top,90
C10,106.78,34.57,Top,270
CH1,8.65,50.68,Top,90
CH2,18.81,50.7,Top,90
CH3,28.93,50.7,Top,90
CH4,39.05,50.7,Top,90
CH5,49.17,50.7,Top,90
CH6,59.29,50.7,Top,90
CH7,69.41,50.7,Top,90
CH8,79.53,50.7,Top,90
CON1,27,28,Top,0
O,44.76,27.31,Top,180
R5,18.9,25.36,Top,90
R6,58.9,25.34,Top,90
R7,92.64,32.74,Top,0
R10,92.5,40.36,Top,0
R11,92.42,48.85,Top,0
R12,38.79,25.36,Top,90
R13,106.78,37.92,Top,270
S4,112.77,36.17,Top,0
SEL1,8.7,48.5,Top,90
SEL2,18.8,48.5,Top,90
SEL3,28.9,48.5,Top,90
SEL4,39,48.5,Top,90
SEL5,49.2,48.5,Top,90
SEL6,59.3,48.5,Top,90
SEL7,69.4,48.5,Top,90
SEL8,79.5,48.5,Top,90
C1,55.17,19.15,Bottom,0
C5,66.46,31.04,Bottom,135
C6,72.78,30.08,Bottom,225
C11,34.47,30.07,Bottom,225
C12,27.77,30.97,Bottom,135
CON2,54.67,36.52,Bottom,180
IC1,70.35,33.99,Bottom,135
IC2,32,34,Bottom,135
R1,55.15,22.85,Bottom,180
R2,55.15,21.6,Bottom,180
R3,55.15,20.35,Bottom,180
R4,58.9,19.2,Bottom,180
R8,68.35,40.94,Bottom,180
R9,72.41,40.94,Bottom,180
R14,30,41,Bottom,180
R15,34,41,Bottom,180
T1,58.95,21.75,Bottom,180
TP1,6.64,31.86,Bottom,0
TP2,6.69,42.24,Bottom,180
TP3,6.7,35.25,Bottom,180
TP16,6.69,38.74,Bottom,180
