Designator,Mid X,Mid Y,Layer,Rotation
3V3, 6.71,29.62,Bottom,0.0
5V, 6.76,46.00,Bottom,180.0
<,29.85,37.69,Top,0.0
>,70.03,37.91,Top,0.0
BL, 6.77,33.01,Bottom,180.0
C1,21.32,30.48,Bottom,270.0
C2,38.46,28.10,Bottom,90.0
C3,36.18,28.11,Bottom,90.0
C4,37.32,28.11,Bottom,90.0
C5,73.40,34.55,Bottom,135.0
C6,79.96,33.51,Bottom,225.0
C7,23.49,39.48,Top,90.0
C8,63.41,39.50,Top,90.0
C9,43.35,39.48,Top,90.0
C10,106.78,34.57,Top,270.0
C11,34.33,33.51,Bottom,225.0
C12,27.38,34.41,Bottom,135.0
CH1, 8.65,50.71,Top,0.0
CH2,18.80,50.69,Top,0.0
CH3,28.93,50.69,Top,0.0
CH4,39.02,50.69,Top,0.0
CH5,49.16,50.71,Top,0.0
CH6,59.32,50.69,Top,0.0
CH7,69.44,50.68,Top,0.0
CH8,79.52,50.68,Top,0.0
CON1,30.06,49.59,Top,270.0
CON2,54.67,36.52,Bottom,180.0
CS,48.53,28.24,Bottom,90.0
DSP,16.87,38.10,Top,0.0
GND, 6.76,42.50,Bottom,180.0
IC1,77.29,37.50,Bottom,135.0
IC2,31.61,37.44,Bottom,135.0
LED1,96.39,34.08,Top,90.0
LED2,96.29,41.68,Top,90.0
LED3,96.25,49.75,Top,90.0
MISO,54.39,28.24,Bottom,90.0
MOSI,52.47,28.24,Bottom,90.0
O,49.87,37.88,Top,0.0
PWR,113.29,37.58,Top,180.0
R1,25.04,30.52,Bottom,270.0
R2,23.77,30.50,Bottom,90.0
R3,22.52,30.50,Bottom,90.0
R4,21.37,26.75,Bottom,90.0
R5,23.45,35.90,Top,90.0
R6,63.45,35.88,Top,90.0
R7,92.64,32.74,Top,0.0
R8,75.29,44.45,Bottom,180.0
R9,79.35,44.45,Bottom,180.0
R10,92.50,40.36,Top,0.0
R11,92.42,48.85,Top,0.0
R12,43.34,35.90,Top,90.0
R13,106.78,37.92,Top,270.0
R14,29.61,44.44,Bottom,180.0
R15,33.61,44.44,Bottom,180.0
SCK,50.45,28.24,Bottom,90.0
SCL0,19.84,45.04,Bottom,0.0
SDA0,19.84,43.06,Bottom,0.0
SEL1, 8.67,48.40,Top,0.0
SEL2,18.80,48.50,Top,0.0
SEL3,28.92,48.50,Top,0.0
SEL4,39.00,48.50,Top,0.0
SEL5,49.17,48.49,Top,0.0
SEL6,59.33,48.49,Top,0.0
SEL7,69.39,48.47,Top,0.0
SEL8,79.49,48.47,Top,0.0
T1,23.92,26.70,Bottom,90.0
