Comment,Designator,Footprint,LCSC Part #
,CH1 CH2 CH3 CH4 CH5 CH6 CH7 CH8 SEL1 SEL2 SEL3 SEL4 SEL5 SEL6 SEL7 SEL8,CHIP-LED0805,
1K,R7 R10 R11,0402,
10K,R5 R6 R12 R13,0402,
10uF,C3,C0402,
100nF,C2 C4 C7 C8 C9 C10,C0402,
FPC40-HD,CON1,FPC40_3.5TFT,
TC-6601-5.0-160,< > O S4,4.30182E+11,
4D03WGJ0102T5E 1K,R8 R9 R14 R15,742C083103JP,
10K,R4,0402,
10uF,C1,C0402,
56R,R1 R2 R3,0402,
100nF,C5 C6 C11 C12,C0402,
AFC11-S20ICC-00,CON2,FPC20,
BSS138,T1,SOT23,
MCP23017-E/ML,IC1 IC2,QFN28[6X6]ML,
TP,TP1 TP2 TP3 TP16,TP,
