Comment,Designator,Footprint,LCSC Part #
PI3USB102JXUCEX,IC23,QFN40P120X140X35-10N,C155356
DNI,3VDC 3VFB 5V-NI1 5V-NI2 5VDC 5VFB 12VDC AVDD DVDD FB-NI1 FB-NI2 GND GND-3 GND-5 IOVDD L-REC1 L-REC2 SW SW3 VBUS VNI1 VNI2 VREF,TP,
RS032G05A3SM,BOOT RESET,TACTILE-SWITCH-1101NE,C18078119
22uF 25V,C1 C2,C1206,C12891
100uF,C10 C13 C16,100UF-16V,C3338
100nF/16V,C102 C104 C105,0201,C2846674
4.7uF/16V,C103,0201,C335103
33pF,C11 C12,0402,C1562
22uF - 10V,C14 C15 C17 C18,C1206,C12891
100nF,C19 C20 C33 C34,C0402,C56392
2.2uF 10V,C21 C46,C0603,C23630
220nF 16V,C22 C52,C0805,C1770
100uF 16V,C23 C53,WCAP-PSHP_6.3X5.8(DXL),C970684
33nF,C24 C25 C26 C27 C28 C29 C30 C31 C32 C36 C37 C38 C39 C40 C41 C42 C43 C44 C48 C49 C50 C54 C55 C56,C1206,C97930
100nF,C3 C4 C6 C7 C8 C9,0402,C56392
2.2uF 400V,C35 C47,WCAP-HSAH_D6.3H7.7P2.2,C88684
1uF 50V,C45 C57,C0805,C5422
1nF 50V,C5 C51,C0603,C100040
15pF,C58 C59,0201,C85891
1uF,C60,C0402,C52923
100nF,C61 C62 C63 C64,0201,C284966
10uF,C65 C97 C99,0805,C15850
100nF,C66,0402,C56392
100nF,C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C77,0201,C284966
4.7nF,C78,0402,C1538
100nF,C79,C0402,C56392
22nF,C80,C0402,C1532
6.8nF,C81 C82,0201,C778386
C1206C102KGRACTM,C83,C1206,C9196
100nF,C84 C88 C89 C90 C91 C92 C93 C94 C95 C96 C98 C100 C101,0201,C284966
4.7uF,C85,C0402,C23733
18pF,C86 C87,0201,C62164
AFC11-S20ICC-00,CON1,FPC20,C11073
MBRA340T3G,D1,SMA,C5337991
US1J,D11 D14,SMA,C18199128
SS12,D15,SMA,C18199177
MBRA340T3,D2 D3 D4 D5 D6 D7 D8,SMA,C5337991
1N4007,D9 D10 D12 D13,SMA,C727081
SP0503BAHTG-ES,ESD1,SOT143,C19170916
MP2315GJ-Z,IC1,SOT65P280X110-8N,C45889
RP2040,IC15,QFN40P700X700X100-57T510,C2040
MCP6001R,IC17,SOT23-5,C154973
W25Q128JVPIQ,IC18,SON127P600X500X75-8N,C190862
CAT24C512HU5IGT3,IC19,SON50P300X200X50-9T130X140N,C153773
MP2315S ,IC2,SOT65P280X110-8N,C45889
W5500,IC20,LQFP48,C32843
MIC5504-3.3YM5-TR,IC21,SOT23-5,C88419
FT232RNQ,IC22,QFN32,C5441431
ULN2803A,IC3,SO18,C845537
MCP23017-E/ML,IC4,QFN28[6X6]ML,C639770
MP150GJ,IC5 IC13,SOT23-5,C55199
HLW8032,IC6 IC7 IC8 IC10 IC11 IC12 IC14 IC16,SO8,C128023
SN74HC151PWR,IC9,TSSOP16,C2653837
DNI,J1,A0R-JMP,
DNI,J7 R57 R58 R59,SJ,
0R,J8 J9 J10,0805,C17477
4.9uH,L1,SRR5228A,
4.2uH,L2,SRR5228A,
FNR6028S102MT 1mH,L3 L5,WE-HEPA_6030,C168049
BLM18EG221TN1D,L4 L6,0603,C113025
ACPL-247,OPT1 OPT2,SO16,C188682
CHIP-FLAT-G_0603-0.35MM,PWR RX,LEDC1608X35N_FLAT-G,C22371297
499K,R1,0402,C25793
33K,R10,0402,C25779
4.7K,R109 R129 R145,R0201,C270346
40.2K,R11 R13,0402,C137983
1K,R110 R112 R148 R151,0402,C11702
2.2K 1%,R121,R0201,C713492
5.1K,R124 R125,R0201,C274341
10K,R126 R127,R0201,C473048
NC,R128,R0201,
4D03WGJ0332T5E,R130 R149,742C083103JP,C12013
1M,R131,0402,C26083
10K,R132 R147,0402,C25744
3.3R,R133 R134 R135 R136,R0201,C158547
49.9R,R137 R138 R139 R140,R0201,C155744
12.7K,R14,0402,C25853
470R,R141 R142 R146,0402,C25117
12.4K 1%,R143,R0201,C2612358
1M,R144,R0201,C295786
DNI,R15 R111 R122 R123,R0201,
10K,R150,R0201,C473048
1K,R16,R0201,C270365
330R 1W,R17 R18 R19 R20 R21 R22 R23 R24,2512,C19866
10K,R2 R95,0402,C25744
100K,R3 R5 R94,0402,C25741
1K 1%,R33 R34 R40 R41 R42 R48 R49 R50 R56 R65 R66 R72 R73 R74 R80 R81 R82 R88 R97 R98 R104 R113 R114 R120,1206,C2907372
0.002R 1%,R35 R43 R51 R67 R75 R83 R99 R115,2512,C46961747
470K,R36 R37 R38 R39 R44 R45 R46 R47 R52 R53 R54 R55 R68 R69 R70 R71 R76 R77 R78 R79 R84 R85 R86 R87 R100 R101 R102 R103 R116 R117 R118 R119,1206,C17997
9.09K,R4,0402,C11549
7.5K,R6 R12,0402,C25918
4.99K,R60 R61 R105 R107,0603,C23046
39R 2W,R62 R106,2512,C175263
4D03WGJ0103T5E,R63 R64 R89 R90,742C083103JP,C20197
10R,R7 R9,0402,C25077
20K,R8,0402,C25765
0R,R91 R92,0402,C17168
4x10K 1206,R93,742C083103JP,C29718
10K,R96 R108,0805,C17414
LM4040BXX,REF1,SOT23,C9409
CHIP-FLAT-B_0603-0.35MM,TX,LEDC1608X35N_FLAT-B,C965807
USB-TYPE-C-018,USBC,6.29722E+11,C2927038
