Designator,Mid X,Mid Y,Layer,Rotation
3VDC,82,3.01,Top,90
3VFB,84.53,11.24,Top,270
5V-NI1,25.88,22.01,Top,270
5V-NI2,47.98,21.73,Top,270
5VDC,122.01,12.72,Top,180
5VFB,102.79,14.18,Top,270
12VDC,128.34,20.28,Top,0
AVDD,140.65,21.79,Top,180
BOOT,202.34,34.5,Top,0
C1,108.46,4.45,Top,0
C2,91.73,4.64,Top,0
C3,108.46,6.25,Top,0
C4,91.73,6.44,Top,0
C5,28.88,39.11,Top,270
C6,108.36,13.15,Top,90
C7,91.63,13.34,Top,90
C8,112.96,12.85,Top,0
C9,96.23,13.04,Top,0
C10,120.77,40.94,Top,0
C11,104.76,14.55,Top,270
C12,88.03,14.74,Top,270
C13,120.77,33.24,Top,0
C14,115.56,3.15,Top,270
C15,98.83,3.34,Top,270
C16,120.77,25.64,Top,0
C17,113.06,3.15,Top,270
C18,96.33,3.34,Top,270
C19,152.2,26.35,Top,315
C20,152.95,27.09,Top,315
C21,26.28,35.51,Top,0
C22,32.58,38.01,Top,270
C23,18.38,23.61,Top,270
C24,4.86,90.02,Top,180
C25,4.86,87.77,Top,180
C26,10.23,72.54,Top,180
C27,107.46,91.22,Top,180
C28,107.46,88.97,Top,180
C29,112.73,73.74,Top,180
C30,31.36,90.82,Top,180
C31,31.36,88.57,Top,180
C32,36.73,75.64,Top,180
C33,165.15,31.21,Top,0
C34,165.15,32.31,Top,0
C35,18.29,41.22,Top,270
C36,56.46,91.12,Top,180
C37,56.46,88.87,Top,180
C38,61.73,73.64,Top,180
C39,132.66,91.62,Top,180
C40,132.66,89.17,Top,180
C41,137.93,73.74,Top,180
C42,81.66,91.52,Top,180
C43,81.66,89.27,Top,180
C44,86.93,74.04,Top,180
C45,19.38,29.81,Top,0
C46,48.48,35.23,Top,0
C47,39.74,41.63,Top,270
C48,157.97,91.22,Top,180
C49,157.97,88.47,Top,180
C50,163.35,73.24,Top,180
C51,51.38,39.33,Top,270
C52,55.05,37.44,Top,270
C53,39.88,22.73,Top,270
C54,184.07,89.42,Top,180
C55,184.07,87.17,Top,180
C56,189.45,72.94,Top,180
C57,41.58,28.93,Top,0
C58,146.07,5.55,Top,90
C59,150.91,5.56,Top,270
C60,136.99,18.35,Top,180
C61,139.46,16.87,Top,0
C62,137.86,20.26,Top,180
C63,137.88,19.31,Top,180
C64,165.41,26.43,Top,90
C65,171.29,10.03,Top,180
C66,171.78,11.65,Top,180
C67,168.64,25.01,Top,0
C68,159.86,9.69,Top,315
