Designator,Mid X,Mid Y,Layer,Rotation
C11,53.85,20.32,Top,90
C12,55.12,20.32,Top,90
C13,70.87,20.32,Top,270
C14,73.06,20.32,Top,90
C15,69.6,20.32,Top,90
C16,68.33,20.32,Top,90
C17,42.36,26.36,Top,270
C18,42.16,16.26,Top,90
C19,31.5,21.34,Top,90
C20,9.6,8.29,Top,270
C21,10.16,28.66,Top,135
C22,9.33,27.82,Top,135
CON3,50.8,0,Top,270
CON4,71.12,0,Top,270
DISP2,63.5,21.66,Top,0
IC1,14.04,30.45,Top,315
R16,56.39,20.32,Top,90
R17,60.96,20.32,Top,270
R18,67.06,20.32,Top,90
R19,65.79,20.32,Top,270
R20,63.25,20.32,Top,90
R21,44,26.36,Top,90
R22,44.3,16.26,Top,270
R23,29.21,21.34,Top,270
R24,7.87,8.29,Top,90
R25,64.52,20.32,Top,270
R26,21.84,28.45,Top,270
R27,21.84,32.51,Top,270
R28,4.26,22.8,Top,270
R29,9.98,33.55,Top,180
R30,4.24,16.26,Top,270
BUT+1,43.18,27.34,Bottom,180
BUT-1,43.18,17.78,Bottom,0
BUT_PWR1,8.89,7.62,Bottom,180
BUT_SET1,30.48,22.86,Bottom,0
CON3,50.8,0,Bottom,270
CON4,71.12,0,Bottom,270
ETH,8.52,21.49,Bottom,90
FAULT,18.04,33.54,Bottom,90
OUT-1,75.22,33.51,Bottom,90
OUT-2,68.83,33.53,Bottom,90
OUT-3,62.48,33.53,Bottom,90
OUT-4,56.13,33.53,Bottom,90
OUT-5,49.78,33.53,Bottom,90
OUT-6,43.43,33.53,Bottom,90
OUT-7,37.08,33.53,Bottom,90
OUT-8,30.73,33.53,Bottom,90
PWR,8.55,14.91,Bottom,90
