Designator,Mid X,Mid Y,Layer,Rotation
AVDD,31.15,38.36,Top,270.0
BOOT,38.04,73.46,Top,180.0
C1,16.58,27.82,Top,90.0
C2,11.00,30.96,Top,90.0
C3,18.86,27.84,Top,270.0
C4,20.06,27.82,Top,270.0
C5,24.70,21.89,Top,0.0
C6,25.27,43.07,Top,0.0
C7,25.27,40.88,Top,0.0
C8, 7.42,43.09,Top,180.0
C9, 7.29,50.05,Top,0.0
C10,11.12,38.36,Top,180.0
C11,21.11,46.55,Top,0.0
C12,11.12,39.64,Top,180.0
C13,25.27,38.17,Top,0.0
C14,21.19,30.97,Top,270.0
C15,17.71,30.95,Top,270.0
C16,25.27,39.77,Top,0.0
C17,23.77,35.77,Top,0.0
C18,25.27,41.97,Top,0.0
C19,17.01,62.12,Top,90.0
C20,14.27,57.06,Top,180.0
C21,37.24,48.74,Top,90.0
C22,38.55,48.72,Top,90.0
C23,31.98,44.14,Top,270.0
C24,37.43,43.47,Top,270.0
C25,40.11,60.36,Top,270.0
C26,31.27, 9.71,Top,180.0
C27,30.77,12.75,Top,180.0
C28,30.36,65.37,Top,90.0
C29,33.73,53.74,Top,0.0
C30,33.73,56.98,Top,0.0
C31,25.85,50.37,Top,270.0
C32,29.47,50.36,Top,270.0
C33,19.39,57.74,Top,180.0
C34,25.04,65.28,Top,90.0
C35,30.67,50.34,Top,270.0
C36,40.88,14.94,Top,0.0
C37,33.72,54.86,Top,0.0
C38,19.40,56.65,Top,180.0
C39,33.72,58.25,Top,0.0
C40,40.78,16.54,Top,0.0
C41,43.43,20.63,Top,90.0
C42,40.78,22.36,Top,0.0
C54,40.42,10.21,Top,180.0
DISPBOARD, 3.30,15.70,Top,270.0
DVDD,40.23,56.32,Top,0.0
ESD1,35.59,11.23,Top,90.0
IC1,18.17,40.33,Top,90.0
IC2,26.87,57.27,Top,270.0
IC3,34.80,44.10,Top,90.0
IC4,36.55,63.92,Top,270.0
IC5,40.81,19.49,Top,0.0
IC6,28.49,71.33,Top,0.0
IOVDD,33.75,38.40,Top,270.0
L1,12.48,35.77,Top,0.0
R1,14.38,30.95,Top,270.0
R2,15.48,30.96,Top,270.0
R3,20.03,30.98,Top,270.0
R4,18.88,30.96,Top,270.0
R5,17.70,27.82,Top,90.0
R6,21.20,27.82,Top,90.0
R7,16.59,30.96,Top,90.0
R8,13.24,30.96,Top,90.0
R9,22.31,30.96,Top,270.0
R10,23.46,30.96,Top,270.0
R11,23.77,34.61,Top,180.0
R13,10.07,46.63,Top,270.0
R14,10.80,43.13,Top,180.0
R15,11.48,60.67,Top,270.0
R16,17.01,59.07,Top,90.0
R17,38.57,44.72,Top,270.0
R18,40.11,63.67,Top,270.0
R19,40.11,66.97,Top,270.0
R20,30.77,11.48,Top,180.0
R21,34.88,19.34,Top,90.0
R22,36.40,19.34,Top,90.0
R23,40.38,12.34,Top,0.0
R24,33.05,13.26,Top,90.0
R25,30.79,14.18,Top,180.0
R26,28.73,13.52,Top,270.0
R27,28.41,73.25,Top,0.0
R28,25.86,71.25,Top,90.0
R38,27.74,65.37,Top,0.0
R39,40.42, 8.94,Top,180.0
R40,12.12,30.95,Top,90.0
R50,16.06,69.14,Top,180.0
REF1,34.72,48.74,Top,90.0
RELAYBOARD, 3.30,33.80,Top,90.0
RESET,16.04,73.46,Top,180.0
USBC,36.10, 2.34,Top,0.0
VBUS,28.91,18.85,Top,0.0
VREF,36.45,38.40,Top,270.0
X1, 7.40,46.58,Top,90.0
X2,14.22,60.60,Top,270.0
