Designator,Mid X,Mid Y,Layer,Rotation
BUT+1,98.94,48.79,Top,180.0
BUT-1,98.96, 8.81,Top,180.0
BUT_PWR1,118.96,18.81,Top,180.0
BUT_SET1,98.96,28.81,Top,180.0
C1,54.35,35.80,Top,0.0
C2,54.35,34.65,Top,0.0
C15,53.75,23.07,Top,90.0
C16,54.37,32.32,Top,0.0
C17,93.14,50.44,Top,90.0
C18,93.06,10.46,Top,90.0
C19,93.00,30.44,Top,90.0
C20,112.90,20.41,Top,90.0
C21,121.26,57.44,Top,45.0
C22,120.42,58.37,Top,45.0
ETH,118.99,38.88,Top,90.0
FAULT,118.99,47.88,Top,90.0
IC2,114.29,58.65,Top,135.0
OUT-1, 8.65,60.68,Top,90.0
OUT-2,18.81,60.70,Top,90.0
OUT-3,28.93,60.70,Top,90.0
OUT-4,39.05,60.70,Top,90.0
OUT-5,49.17,60.70,Top,90.0
OUT-6,59.29,60.70,Top,90.0
OUT-7,69.41,60.70,Top,90.0
OUT-8,79.53,60.70,Top,90.0
PWR,118.99,29.88,Top,90.0
R1,54.35,20.85,Top,180.0
R2,54.35,19.70,Top,180.0
R3,54.35,18.55,Top,180.0
R4,56.60,25.00,Top,180.0
R21,93.10,46.86,Top,90.0
R22,93.10, 6.84,Top,90.0
R23,92.99,26.86,Top,90.0
R24,112.87,16.99,Top,90.0
R26,106.46,61.65,Top,90.0
R27,106.46,56.59,Top,90.0
R28,119.40,53.96,Top,0.0
R29,119.42,52.55,Top,0.0
R30,119.44,55.34,Top,0.0
T1,56.55,22.25,Top,180.0
TFT,27.00,28.00,Top,0.0
3V3,66.74,27.12,Bottom,180.0
5V,66.74,23.85,Bottom,180.0
BL,42.70,21.25,Bottom,180.0
CS,42.80,40.98,Bottom,180.0
DC,42.80,37.50,Bottom,180.0
DISPBOARD,74.80, 9.00,Bottom,0.0
GND,66.74,20.35,Bottom,180.0
I2C_SCL,85.79,42.77,Bottom,180.0
I2C_SDA,85.79,46.39,Bottom,180.0
KEY0,109.92,43.70,Bottom,180.0
KEY1,109.92,40.33,Bottom,180.0
KEY2,109.92,36.96,Bottom,180.0
KEY3,109.92,33.93,Bottom,180.0
LCD_RES,42.71,24.30,Bottom,180.0
MCP_RES,85.79,49.61,Bottom,180.0
MISO,42.80,27.43,Bottom,180.0
MOSI,42.80,30.66,Bottom,180.0
SCK,42.80,33.90,Bottom,180.0
