Comment,Designator,Footprint,LCSC Part #
,LED1 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11,CHIP-LED0805,
1K,R7 R10 R11,0402,
4D03WGJ0102T5E 1K,R8 R9,742C083103JP,
10K,R4 R5 R6 R12,0402,
10uF,C1 C3,C0402,
56R,R1 R2 R3,0402,
100nF,C2 C4 C5 C6 C7 C8 C9,C0402,
BSS138,T1,SOT23,
FPC40-HD,CON1,FPC40_3.5TFT,
MCP23017-E/ML,IC1,QFN28[6X6]ML,
TC-6601-5.0-160,S1 S2 S3,4.30182E+11,
XL-2012SURC,LED3,CHIP-LED0805,
XL-2012UBC,LED2,CHIP-LED0805,
FPC20-H,CON2,FPC20,
TP,TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11 TP12 TP13 TP14 TP15 TP16,TP,
