Designator,Mid X,Mid Y,Layer,Rotation
3VDC,152.80,70.70,Top,180.0
3VFB,136.80,83.40,Top,270.0
5VDC,153.10,93.10,Top,180.0
5VFB,136.20,106.60,Top,270.0
12VDC,81.10,44.30,Top,0.0
C1,142.60,98.80,Top,0.0
C2,143.00,76.50,Top,0.0
C3,142.60,100.60,Top,0.0
C4,143.00,78.30,Top,0.0
C5,26.90,68.70,Top,180.0
C6,142.50,107.50,Top,90.0
C7,142.90,85.20,Top,90.0
C8,147.10,107.20,Top,0.0
C9,147.50,84.90,Top,0.0
C10,84.00,69.00,Top,0.0
C11,138.90,108.90,Top,270.0
C12,139.30,86.60,Top,270.0
C13,84.00,61.30,Top,0.0
C14,149.70,97.50,Top,270.0
C15,150.10,75.20,Top,270.0
C16,84.00,53.70,Top,0.0
C17,147.20,97.50,Top,270.0
C18,147.60,75.20,Top,270.0
C19,136.10,45.40,Top,270.0
C20,137.30,45.40,Top,270.0
C21,14.10,67.70,Top,0.0
C22,23.40,73.60,Top,0.0
C23,26.90,66.50,Top,180.0
C24, 9.03,114.72,Top,180.0
C25, 9.03,112.48,Top,180.0
C26,16.60,97.25,Top,180.0
C27,42.47, 4.58,Top,0.0
C28,42.47, 6.82,Top,0.0
C29,34.90,22.05,Top,0.0
C30,36.93,115.02,Top,180.0
C31,36.93,112.78,Top,180.0
C32,44.50,99.85,Top,180.0
C33,145.80,59.80,Top,0.0
C34,145.80,60.90,Top,0.0
C36,64.23,115.12,Top,180.0
C37,64.23,112.88,Top,180.0
C38,71.80,97.65,Top,180.0
C39,69.07, 4.68,Top,0.0
C40,69.07, 6.92,Top,0.0
C41,61.50,22.15,Top,0.0
C42,92.03,115.22,Top,180.0
C43,92.03,112.98,Top,180.0
C44,99.60,97.75,Top,180.0
C48,96.07, 4.78,Top,0.0
C49,96.07, 7.02,Top,0.0
C50,88.50,22.25,Top,0.0
C54,123.57, 4.58,Top,0.0
C55,123.57, 6.82,Top,0.0
C56,116.00,22.05,Top,0.0
D1,35.02,79.91,Top,90.0
D2,62.92,79.98,Top,90.0
D3,91.12,80.55,Top,90.0
D4,118.42,81.62,Top,90.0
D5,16.58,39.91,Top,270.0
D6,42.98,40.14,Top,270.0
D7,70.17,40.19,Top,270.0
D8,97.07,40.02,Top,270.0
D9,17.20,58.90,Top,270.0
D10,16.10,52.80,Top,180.0
D11,21.50,56.20,Top,270.0
GND,88.50,47.90,Top,90.0
GND-3,143.20,73.90,Top,180.0
GND-5,143.00,96.20,Top,0.0
IC1,142.30,103.40,Top,90.0
IC2,142.70,81.10,Top,90.0
IC3,117.50,58.20,Top,90.0
IC4,136.00,50.60,Top,90.0
IC5,27.90,60.90,Top,0.0
IC6, 9.10,104.35,Top,180.0
IC7,42.40,14.95,Top,0.0
IC8,37.00,104.55,Top,180.0
IC9,141.50,62.80,Top,180.0
IC10,64.30,104.75,Top,180.0
IC11,69.00,15.05,Top,0.0
IC12,92.10,104.85,Top,180.0
IC14,96.00,15.15,Top,0.0
IC16,123.50,14.95,Top,0.0
J1,145.90,21.20,Top,90.0
L1,148.50,103.30,Top,0.0
L2,148.90,81.00,Top,0.0
OPT1,127.00,95.10,Top,270.0
OPT2,125.00,32.90,Top,270.0
R1,139.40,100.60,Top,180.0
R2,139.80,78.30,Top,180.0
R3,138.00,102.00,Top,0.0
R4,140.10,102.70,Top,90.0
R5,138.40,79.80,Top,0.0
R6,140.50,80.40,Top,90.0
R7,144.90,105.30,Top,270.0
R8,140.10,105.80,Top,90.0
R9,145.30,83.00,Top,270.0
R10,140.50,83.50,Top,90.0
R11,140.10,108.90,Top,270.0
R12,138.90,105.80,Top,270.0
R13,140.50,86.60,Top,270.0
R14,139.30,83.50,Top,270.0
R15,77.60,46.30,Top,0.0
R16,89.90,72.40,Top,180.0
R17,93.30,40.40,Top,270.0
R18,66.59,40.55,Top,270.0
R19,39.30,40.25,Top,270.0
R20,34.35,43.09,Top,180.0
R21,122.08,81.15,Top,90.0
R22,94.87,80.15,Top,90.0
R23,66.56,80.05,Top,90.0
R24,38.45,80.05,Top,90.0
R33,16.56,114.73,Top,180.0
R34,16.56,112.47,Top,180.0
R35,22.17,113.70,Top,90.0
R36,16.56,109.91,Top,180.0
R37,16.56,107.55,Top,0.0
R38,16.56,105.09,Top,180.0
R39,16.62,102.61,Top,0.0
R40,16.60,99.49,Top,180.0
R41,34.94, 4.67,Top,0.0
R42,34.94, 6.83,Top,0.0
R43,29.13, 5.70,Top,270.0
R44,34.94, 9.39,Top,0.0
R45,34.94,11.75,Top,180.0
R46,34.94,14.21,Top,0.0
R47,34.88,16.69,Top,180.0
R48,34.90,19.81,Top,0.0
R49,44.46,115.03,Top,180.0
R50,44.46,112.77,Top,180.0
R51,50.27,113.90,Top,90.0
R52,44.46,110.11,Top,180.0
R53,44.46,107.85,Top,0.0
R54,44.46,105.39,Top,180.0
R55,44.52,102.91,Top,0.0
R56,44.50,97.49,Top,180.0
R57,18.60,48.70,Top,180.0
R58,18.60,49.70,Top,180.0
R59,18.60,47.70,Top,180.0
R60,14.30,73.80,Top,0.0
R61,13.00,59.20,Top,270.0
R62,20.40,65.90,Top,90.0
R63,117.50,100.60,Top,270.0
R64,116.10,38.20,Top,270.0
R65,71.76,115.13,Top,180.0
R66,71.76,112.87,Top,180.0
R67,77.57,114.00,Top,90.0
R68,71.76,110.21,Top,180.0
R69,71.76,107.95,Top,0.0
R70,71.76,105.49,Top,180.0
R71,71.82,103.01,Top,0.0
R72,71.80,99.89,Top,180.0
R73,61.54, 4.67,Top,0.0
R74,61.54, 6.93,Top,0.0
R75,55.33, 5.80,Top,270.0
R76,61.54, 9.49,Top,0.0
R77,61.54,11.85,Top,180.0
R78,61.54,14.31,Top,0.0
R79,61.48,16.79,Top,180.0
R80,61.50,19.91,Top,0.0
R81,99.56,115.23,Top,180.0
R82,99.56,112.97,Top,180.0
R83,105.37,114.10,Top,90.0
R84,99.56,110.41,Top,180.0
R85,99.56,108.05,Top,0.0
R86,99.56,105.59,Top,180.0
R87,99.62,103.11,Top,0.0
R88,99.60,99.99,Top,180.0
R89,142.70,70.00,Top,0.0
R90,141.80,55.60,Top,180.0
R91,145.80,64.50,Top,0.0
R92,145.80,63.30,Top,0.0
R93,129.80,46.20,Top,180.0
R94,124.40,64.70,Top,180.0
R95,127.60,64.70,Top,180.0
R97,88.54, 4.77,Top,0.0
R98,88.54, 7.03,Top,0.0
R99,82.73, 5.90,Top,270.0
R100,88.54, 9.59,Top,0.0
R101,88.54,11.95,Top,180.0
R102,88.54,14.41,Top,0.0
R103,88.48,16.89,Top,180.0
R104,88.50,20.01,Top,0.0
R113,116.04, 4.57,Top,0.0
R114,116.04, 6.83,Top,0.0
R115,110.23, 5.70,Top,270.0
R116,116.04, 9.39,Top,0.0
R117,116.04,11.75,Top,180.0
R118,116.04,14.21,Top,0.0
R119,115.98,16.69,Top,180.0
R120,116.00,19.81,Top,0.0
SW,147.70,110.10,Top,180.0
SW3,148.50,87.70,Top,180.0
Z1,83.60,47.60,Top,0.0
R25,22.20,113.70,Bottom,90.0
R26,29.10, 5.70,Bottom,270.0
R27,55.30, 5.80,Bottom,270.0
R28,82.70, 5.90,Bottom,270.0
R29,110.20, 5.70,Bottom,270.0
R30,105.40,114.10,Bottom,90.0
R31,77.60,114.00,Bottom,90.0
R32,50.30,113.90,Bottom,90.0
